timestamp,uv,accelX,accelY,accelZ,r,g,b,c,colorTemp,lux,target
1715178137,35,676,-1693,7510,3924,5253,7071,14661,9030,1841,,
1715178139,34,1445,-870,10029,3806,5122,6891,14380,9008,1805,,
1715178141,33,4248,2145,11040,3993,5226,6865,14404,8671,1927,,
1715178143,33,4069,1458,7969,4014,5165,6668,14041,8451,1968,,
1715178145,29,1620,-285,7209,4647,5342,6636,13838,7529,2066,,
1715178147,28,1600,1005,7645,4593,5244,6452,13227,7514,2063,,
1715178149,28,168,-61,6281,9488,8898,10049,19610,5622,3608,,
1715178151,23,-567,-746,6478,6431,6107,7023,13665,5848,2411,,
1715178153,24,-124,194,5568,6164,6357,7502,14781,6639,2541,,
1715178155,26,123,44,5035,5455,5815,7034,14206,6967,2258,,
1715178157,30,-515,-571,4865,6419,6641,7779,16152,6472,2704,,
1715178159,21,-93,-1418,5376,9841,9095,9954,20728,5275,3874,,
1715178161,20,539,681,5894,4738,5014,5776,12345,6457,2148,,
1715178163,17,3016,2045,8942,3443,3848,4597,9778,7042,1591,,
1715178165,19,4153,2375,8944,5381,5312,5887,12539,5774,2328,,
1715178167,22,3758,197,8628,3129,3628,4398,9399,7348,1491,,
1715178169,18,2563,-608,12613,3413,3747,4485,9486,6950,1523,,
1715178171,22,978,-709,10017,2973,3597,4496,9496,7853,1421,,
1715178173,26,23,-1329,6336,3635,4387,5489,11512,7880,1726,,
1715178175,22,1485,103,5042,2672,3343,4283,8941,8279,1274,,
1715178177,19,3334,-2254,9644,2055,2651,3448,7231,8530,993,,
1715178179,17,625,-1681,6982,2147,2799,3618,7596,8571,1072,,
1715178181,20,1496,915,7579,2905,3720,4916,10190,8636,1330,,
1715178183,29,194,2439,8108,2356,3129,4302,8887,9090,1025,,
1715178185,30,-19,1133,7817,2855,3738,4874,10203,8661,1405,,
1715178187,28,3528,3481,9190,2756,3686,4782,10180,8656,1423,,
1715178189,28,2830,1487,9240,3770,4817,6264,13114,8475,1794,,
1715178191,37,132,732,8708,3956,5240,6924,14491,8800,1918,,
1715178193,40,-105,871,8535,4152,5417,7153,14908,8724,1966,,
1715178195,40,-121,1091,8308,4208,5523,7344,15320,8787,1976,,
1715178197,44,12,880,8478,4170,5471,7267,15158,8782,1962,,
1715178198,40,-772,512,8675,4052,5388,7229,15058,8928,1897,,
1715178200,34,4573,3441,11565,4321,5766,7681,16061,8892,2076,,
1715178202,37,3404,1769,6420,5172,6874,8936,18790,8719,2630,,
1715178204,38,712,370,5737,5755,7382,9555,20032,8472,2789,,
1715178206,34,1624,-512,6178,5064,6844,8882,18926,8721,2657,,
1715178208,38,2051,1273,10457,6180,7620,9702,20134,8185,2919,,
1715178210,39,-259,1152,12003,5612,7075,9180,19085,8421,2626,,
1715178214,34,120,1341,11543,5255,6724,8844,18481,8549,2433,,
1715178216,31,-970,1828,10085,4736,6053,7975,16642,8558,2179,,
1715178218,27,-359,2738,10023,3696,4841,6339,13285,8672,1801,,
1715178220,15,-1231,758,4669,1875,2324,2801,6059,7712,1009,,
1715178222,6,261,1701,5290,1148,1389,1560,3707,6848,677,,
1715178224,12,533,637,4994,1587,1739,1989,4567,6463,773,,
1715178226,7,1082,-222,5083,1550,1685,1990,4299,6743,699,,
1715178228,7,952,-2339,4236,1905,2273,2598,5782,7076,1067,,
1715178230,10,1218,-1145,5038,3275,3654,4039,8837,6518,1747,,
1715178232,12,1433,-2311,6611,10275,10991,11041,24479,5659,5930,,
1715178234,15,2155,-797,8030,10607,11296,11744,25031,5888,5790,,
1715178236,20,2675,-152,8552,14116,14993,15288,32573,5745,7892,,
1715178238,15,-1103,4240,8833,23699,18817,19829,35667,3777,7493,,
1715178240,11,-1427,1412,5838,15828,13421,14167,27046,4372,5675,,
1715178242,16,784,1457,6725,32614,26645,27515,54008,4004,11328,,
1715178244,13,963,1927,10713,37778,29485,31183,59371,3823,11450,,
1715178246,25,-1237,222,10718,65535,65535,65535,65535,0,34196,,
1715178248,28,-559,212,6807,65535,65535,65535,65535,0,34196,,
1715178250,44,573,530,3944,65535,65535,65535,65535,0,34196,,
1715178252,36,1666,-106,4495,43593,39294,41563,65535,0,17447,,
1715178254,23,2750,-2974,8478,17376,16635,17643,35802,5308,7701,,
1715178256,16,426,-1359,11487,65535,65535,65535,65535,0,34196,,
1715178258,25,502,2226,8502,65535,65535,65535,65535,0,34196,,
1715178260,18,229,528,6387,10058,9750,10464,21598,5471,4464,,
1715178262,17,658,1351,5990,36425,28944,30491,55872,3825,11541,,
1715178264,23,-394,2629,6959,43201,35420,38454,65535,0,13735,,
1715178266,23,1445,2352,9586,7679,8015,9438,20290,6475,3249,,
1715178268,23,-2813,1868,7746,7048,7411,8727,19128,6475,3021,,
1715178270,30,236,-1896,5339,11204,11097,12848,25739,6164,4474,,
1715178272,48,4450,170,6982,65535,65535,65535,65535,0,34196,,
1715178274,59,1916,805,5761,65535,65535,65535,65535,0,34196,,
1715178276,64,1504,-668,3815,65535,65535,65535,65535,0,34196,,
1715178278,57,1554,-961,6478,65535,65535,65535,65535,0,34196,,
1715178280,49,5362,-388,9793,65535,65535,65535,65535,0,34196,,
1715178282,43,3852,-1144,10312,65535,65535,65535,65535,0,34196,,
1715178284,28,3336,-2302,9177,20237,19552,19278,38731,4838,10180,,
1715178286,25,5128,723,9196,59051,60593,57822,65535,0,34146,,
1715178288,48,5811,2004,7345,65535,65535,65535,65535,0,34196,,
1715178290,29,3200,629,5624,7163,8048,9259,19158,6972,3600,,
1715178292,59,1369,-558,5665,65535,65535,65535,65535,0,34196,,
1715178294,39,1122,-798,5240,8414,9743,11422,23728,7288,4286,,
1715178295,48,814,-650,5945,37100,39825,39360,65535,0,22005,,
1715178297,50,1535,-509,5381,49385,51212,51938,65535,0,26784,,
1715178299,52,1130,-190,5599,65535,65535,65535,65535,0,34196,,
1715178301,65,1997,-480,7289,65535,65535,65535,65535,0,34196,,
1715178303,68,3564,781,9138,65535,65535,65535,65535,0,34196,,
1715178305,49,1335,-1037,10382,7293,8158,9585,19271,7180,3493,,
1715178307,36,-502,-1080,5571,65535,65535,65535,65535,0,34196,,
1715178309,25,843,-417,7288,27171,25068,26491,51432,5009,11356,,
1715178311,23,5022,1007,7696,13453,12407,13515,26118,5235,5323,,
1715178313,24,3190,3341,10118,6467,6828,7668,15922,6360,3065,,
1715178315,21,-179,2843,11056,6224,6499,7191,15242,6148,2973,,
1715178317,23,-860,669,7571,5321,5834,6735,14117,6769,2551,,
1715178319,19,1073,-1005,7274,5218,5544,6310,13711,6376,2438,,
1715178321,22,799,-869,10395,4588,5108,5992,13252,6788,2187,,
1715178323,19,487,5805,6660,3883,4158,4872,11271,6431,1736,,
1715178325,20,986,1141,5145,4303,5120,6258,13869,7393,2103,,
1715178327,29,835,529,8225,4451,5688,7212,15328,8258,2254,,
1715178329,28,-204,1746,11154,4122,5393,6996,14735,8586,2053,,
1715178331,30,-813,1976,7015,3949,5233,6846,14396,8724,1966,,
1715178333,33,439,866,7524,3964,5400,7246,15114,9089,1932,,
1715178335,29,-1359,2698,10967,3694,4978,6606,13870,8911,1822,,
1715178337,27,-442,936,5587,3341,4511,6021,12607,8971,1628,,
1715178339,24,-130,4257,10872,2700,3755,5171,10745,9366,1265,,
1715178341,24,1641,-982,6107,2405,3416,4768,9893,9577,1121,,
1715178343,24,2819,-1713,8532,2594,3643,5065,10525,9468,1200,,
1715178345,22,2084,-472,8348,2870,3992,5314,11111,9183,1479,,
1715178347,20,2748,-1052,7844,2862,3979,5297,11062,9192,1474,,
1715178349,23,2907,-1322,7880,2838,3945,5235,10978,9140,1473,,
1715178351,20,3259,-945,6856,3204,4478,6029,12602,9262,1615,,
1715178353,17,895,3093,7298,3104,4398,6010,12456,9499,1535,,
17151783551715178361,26,2544,2005,7016,2739,3781,5197,10788,9317,1274,,
1715178363,21,2818,795,6719,2477,3479,4736,9812,9426,1220,,
1715178365,23,1586,-694,6477,2467,3385,4622,9720,9129,1158,,
1715178367,21,1341,3024,6396,2623,3532,4811,10025,9072,1202,,
1715178369,17,1848,4381,6930,2189,2935,3976,8293,9013,1011,,
1715178371,16,1203,4489,8611,2257,3015,4092,8516,9015,1031,,
1715178373,14,2334,4493,6533,1919,2552,3443,7183,8937,885,,
1715178375,12,2350,4230,6684,1966,2617,3539,7377,8960,902,,
1715178377,13,2290,2170,4164,1946,2598,3506,7320,8960,902,,
1715178379,14,-2578,403,5780,2270,2935,4003,8249,8887,965,,
1715178381,19,318,86,8073,3076,4100,5613,11536,9146,1364,,
1715178383,20,1642,444,8164,3289,4540,6106,12686,9228,1628,,
1715178385,25,1294,409,8342,3298,4552,6122,12721,9226,1633,,
1715178387,21,1129,350,8152,3275,4518,6088,12646,9233,1611,,
1715178389,23,1148,242,8204,3275,4522,6092,12654,9238,1615,,
1715178391,30,1104,191,8052,3266,4520,6093,12653,9260,1614,,
