timestamp,uv,accelX,accelY,accelZ,r,g,b,c,colorTemp,lux,target
1716377857,6,-1725,396,8210,17875,16697,17069,30410,4778,8057,,
1716377859,8,-1733,367,8203,17945,16754,17131,30537,4776,8079,,
1716377861,8,-1752,422,8196,17947,16758,17136,30545,4777,8081,,
1716377863,8,-1727,411,8197,17969,16771,17151,30566,4774,8084,,
1716377865,6,-1829,404,8196,17961,16767,17146,30544,4775,8083,,
1716377867,8,-2054,791,8038,17565,16405,16748,29812,4763,7932,,
1716377869,6,-2152,881,8066,17713,16538,16877,30038,4756,7999,,
1716377871,11,-2135,895,8032,17735,16557,16897,30088,4756,8008,,
1716377873,7,-2160,963,8046,17679,16485,16828,29920,4747,7963,,
1716377875,9,-2121,1038,8000,17496,16325,16657,29622,4748,7895,,
1716377877,7,-2171,1021,8037,17538,16355,16690,29685,4745,7904,,
1716377879,10,-2196,1089,8013,17537,16349,16684,29660,4742,7900,,
1716377881,7,-2230,1121,8020,17450,16271,16602,29528,4742,7865,,
1716377883,8,-2206,1120,8056,17553,16351,16686,29650,4734,7896,,
1716377885,9,-2259,952,7999,17523,16350,16681,29679,4748,7908,,
1716377887,8,-2276,990,7996,17515,16321,16654,29585,4736,7884,,
1716377889,9,-2302,1018,7979,17487,16294,16623,29510,4733,7874,,
1716377891,8,-2335,1034,7940,17481,16281,16612,29489,4730,7863,,
1716377893,7,-2345,1020,7956,17473,16277,16605,29469,4730,7864,,
1716377895,9,-2335,1033,8082,17523,16316,16646,29531,4726,7880,,
1716377897,8,-2366,1081,7942,17473,16275,16603,29475,4729,7863,,
1716377899,8,-2357,1073,7949,17435,16247,16572,29440,4733,7854,,
1716377901,10,-2342,1073,7966,17461,16270,16595,29497,4732,7865,,
1716377903,6,-2428,1089,7940,17429,16245,16568,29471,4735,7855,,
1716377905,3,-2409,1089,7944,17436,16255,16575,29506,4736,7864,,
1716377907,8,-2419,1097,7922,17530,16337,16661,29658,4734,7900,,
1716377909,9,-2422,1105,7920,17577,16374,16699,29723,4730,7915,,
1716377911,9,-2424,1122,7961,17645,16433,16761,29846,4729,7941,,
1716377913,6,-2440,1098,7875,17354,16189,16492,29404,4734,7847,,
1716377915,8,-2419,1002,7998,17651,16446,16767,29849,4729,7955,,
1716377917,10,10,1311,8181,17380,16332,16782,30549,4893,7852,,
1716377920,37,-1426,-302,8144,35180,36782,39232,65535,0,17919,,
1716377922,34,-632,209,8416,33177,35010,37490,65535,0,17048,,
1716377924,36,-1147,108,8019,33910,35631,38086,65535,0,17354,,
1716377926,35,-1110,-998,8142,37293,38850,41361,65535,0,18939,,
1716377928,37,-887,-437,8439,37606,39171,41808,65535,0,19017,,
1716377930,41,-831,-346,8313,37755,39322,41974,65535,0,19085,,
1716377932,39,-767,-300,8279,37730,39297,41956,65535,0,19067,,
1716377934,37,-658,-221,8390,37616,39196,41868,65535,0,19009,,
1716377936,36,-626,-99,8335,37552,39144,41843,65535,0,18966,,
1716377938,38,-645,-37,8454,37484,39071,41768,65535,0,18928,,
1716377940,32,-663,-34,8408,37566,39154,41856,65535,0,18968,,
1716377942,38,-612,-55,8430,37519,39127,41848,65535,0,18946,,
1716377944,38,-455,49,8448,37514,39135,41870,65535,0,18945,,
1716377946,38,-596,-5,8518,37499,39117,41847,65535,0,18938,,
1716377948,29,-527,68,8394,37503,39133,41875,65535,0,18941,,
1716377950,40,-551,71,8348,37511,39159,41912,65535,0,18953,,
1716377952,38,-482,15,8365,37674,39328,42091,65535,0,19036,,
1716377954,43,-430,76,8395,37772,39425,42190,65535,0,19084,,
1716377956,32,-369,47,8378,37764,39426,42204,65535,0,19078,,
1716377958,40,-396,53,8428,37873,39523,42293,65535,0,19131,,
1716377960,49,-361,68,8437,37851,39505,42281,65535,0,19118,,
1716377962,51,-458,49,8404,37812,39476,42252,65535,0,19107,,
1716377964,39,-316,149,8363,37815,39473,42249,65535,0,19103,,
1716377966,40,-300,191,8475,37832,39492,42269,65535,0,19113,,
1716377968,35,-280,216,8412,37806,39467,42241,65535,0,19102,,
1716377970,36,-350,200,8526,37832,39506,42284,65535,0,19124,,
1716377972,40,-268,43,8366,37720,39515,42284,65535,0,19175,,
1716377974,40,-283,66,8349,37810,39601,42387,65535,0,19206,,
1716377976,38,-261,87,8291,37965,39729,42526,65535,0,19256,,
1716377978,70,-290,99,8344,38001,39746,42541,65535,0,19260,,
1716377980,40,-266,133,8347,38223,39927,42725,65535,0,19339,,
1716377982,48,-234,139,8432,38336,40032,42834,65535,0,19388,,
1716377984,35,-248,111,8229,38266,39967,42771,65535,0,19354,,
1716377986,39,-206,228,8484,38224,39920,42722,65535,0,19330,,
1716377988,40,-287,214,8361,38428,40089,42883,65535,0,19412,,
1716377990,42,-275,206,8259,38456,40123,42931,65535,0,19422,,
1716377992,41,-304,326,8427,38564,40206,42993,65535,0,19472,,
1716377994,35,-381,228,8424,38626,40258,43037,65535,0,19502,,
1716377996,41,-315,286,8376,38513,40161,42938,65535,0,19458,,
1716377998,38,-326,345,8367,38490,40143,42923,65535,0,19448,,
1716378000,41,-443,216,8358,38523,40167,42939,65535,0,19464,,
1716378002,35,-350,253,8466,38461,40112,42892,65535,0,19431,,
1716378004,36,-273,486,8290,38419,40066,42842,65535,0,19409,,
1716378006,40,-329,459,8424,38456,40098,42872,65535,0,19425,,
1716378008,38,-360,381,8444,38491,40132,42902,65535,0,19446,,
1716378010,40,-397,331,8359,38465,40110,42884,65535,0,19433,,
1716378021,19,6823,-5053,2379,18851,19036,19670,41499,5489,9529,,
1716378023,27,169,735,9609,36771,39755,42384,65535,0,19788,,
1716378031,40,-704,-1218,8292,35903,39246,42257,65535,0,19360,,
1716378054,43,-388,-2058,8398,34731,37656,40050,65535,0,18846,,
1716378056,44,-8,-1710,8295,36063,39111,41662,65535,0,19530,,
1716378058,43,-25,-1685,8240,35982,39015,41553,65535,0,19485,,
1716378060,44,-287,-1923,8378,35874,38915,41442,65535,0,19443,,
1716378062,43,13,-1715,8237,35916,38968,41501,65535,0,19470,,
1716378064,44,-67,-1873,8220,35736,38798,41316,65535,0,19395,,
1716378066,43,-222,-1970,8206,35334,38366,40842,65535,0,19191,,
1716378068,43,-110,-1886,8143,35258,38309,40774,65535,0,19176,,
1716378070,43,-179,-1862,8166,35943,39063,41603,65535,0,19536,,
1716378072,44,-81,-1942,8183,35545,38633,41124,65535,0,19338,,
1716378074,43,-77,-1930,8161,35500,38600,41084,65535,0,19329,,
1716378076,43,-75,-2122,8136,35010,38053,40483,65535,0,19065,,
1716378078,43,-82,-2110,8218,35261,38347,40800,65535,0,19215,,
1716378080,42,94,-1941,8016,35193,38263,40698,65535,0,19180,,
1716378082,43,-62,-2132,8116,35310,38375,40816,65535,0,19232,,
1716378084,42,-128,-2156,8094,35205,38266,40693,65535,0,19184,,
1716378086,77,-100,-2099,8147,35383,38464,40899,65535,0,19288,,
1716378088,43,-38,-2054,8211,35737,38852,41322,65535,0,19476,,
1716378090,43,-91,-2016,8190,35990,39131,41617,65535,0,19618,,
1716378092,44,-84,-2148,8085,35495,38578,41006,65535,0,19353,,
1716378094,44,-34,-2124,8163,35479,38555,40977,65535,0,19343,,
1716378096,44,-61,-2125,8143,35540,38635,41061,65535,0,19388,,
1716378098,43,-64,-2192,8086,35508,38591,41007,65535,0,19369,,
1716378100,44,-108,-2146,8109,35904,39023,41466,65535,0,19586,,
1716378102,44,-79,-2168,8154,35631,38715,41130,65535,0,19435,,
1716378104,44,-142,-2145,8156,35666,38733,41147,65535,0,19439,,
1716378106,49,698,-1152,8493,35606,38667,41064,65535,0,19415,,
1716378108,42,3040,-357,8539,36970,39958,42901,65535,0,19666,,
