timestamp,uv,accelX,accelY,accelZ,r,g,b,c,colorTemp,lux,target
1712471884,6,607,1038,6910,1452,1414,1615,2686,6319,578,,
1712471886,5,2627,-2318,7516,1645,1597,1814,3008,6237,658,,
1712471888,4,1753,242,7146,1612,1565,1799,2976,6365,630,,
1712471890,6,392,2242,6443,2360,2347,2715,4743,6525,951,,
1712471892,6,771,2676,7983,2256,2215,2575,4423,6487,878,,
1712471894,7,1820,312,7304,3032,2891,3206,5667,5710,1232,,
1712471896,7,118,746,8788,2377,2242,2585,4324,6046,875,,
1712471898,8,-1072,1814,8813,2459,2478,2946,5298,6790,956,,
1712471900,11,-357,896,6932,2015,2044,2450,4420,6907,778,,
1712471902,4,514,596,6820,1892,1891,2244,4029,6702,728,,
1712471904,11,3691,-153,9032,1457,1454,1744,3045,6878,545,,
1712471906,11,106,-925,10322,1544,1547,1871,3313,6931,571,,
1712471908,10,-64,461,9964,1721,1720,2091,3767,6881,625,,
1712471910,9,216,709,9371,2237,2308,2881,5328,7266,807,,
1712471912,12,450,781,8096,3412,3750,4726,8976,7760,1352,,
1712471914,16,-375,60,8291,3201,3579,4550,8716,7914,1279,,
1712471916,13,-1069,782,8179,2793,3088,3892,7447,7769,1118,,
1712471918,11,-1099,855,8058,2826,3137,3948,7576,7777,1144,,
1712471920,13,-1044,813,8259,2724,2981,3740,7146,7658,1083,,
1712471922,11,-3084,136,7581,2189,2318,2878,5355,7437,841,,
1712471924,13,-1791,1112,8122,2740,2982,3679,7011,7516,1124,,
1712471926,12,-1728,694,8921,2671,2916,3622,6906,7584,1084,,
1712471928,9,-1530,291,8270,2287,2421,3018,5607,7469,869,,
1712471930,10,-1150,1338,8018,2458,2713,3381,6441,7707,1009,,
1712471932,13,-1376,957,8347,2704,3029,3784,7231,7837,1133,,
1712471934,13,-3408,813,7463,2692,2962,3606,6813,7571,1161,,
1712471936,16,-2221,1442,7449,3369,3815,4727,9017,7892,1467,,
1712471938,14,-2771,773,7773,2976,3285,4024,7581,7659,1273,,
1712471940,15,-2466,504,7797,3047,3351,4108,7642,7704,1293,,
1712471941,17,-1853,1058,8011,3728,4140,5096,9509,7805,1594,,
