timestamp,uv,light,accelX,accelY,accelZ,r,g,b,c,colorTemp,lux,class,code
1712470888,0,4,-989,2390,6814,127,112,125,230,5074,44,,
1712470890,0,9,-1588,1625,6097,114,99,111,202,4985,38,,
1712470892,1,4,-1864,-34,5263,129,112,123,227,4826,44,,
1712470894,2,1,297,1194,6530,121,107,119,219,5067,42,,
1712470896,2,7,3906,1456,10674,101,87,96,175,4795,34,,
1712470898,1,2,1930,2621,11724,104,90,101,185,4967,34,,
1712470900,2,7,1266,2133,10086,98,86,97,179,5119,32,,
1712470902,0,4,860,1620,9711,102,92,105,197,5425,35,,
1712470904,2,4,824,2040,7004,113,103,119,228,5582,38,,
1712470906,0,7,1449,48,8904,294,252,282,527,4883,95,,
1712470908,3,4,-283,2338,6395,174,154,177,331,5332,57,,
1712470910,2,6,-644,-440,7202,196,177,205,387,5540,65,,
1712470912,0,4,969,-594,8088,182,168,197,376,5790,61,,
1712470914,2,7,-831,447,10653,137,132,158,308,6226,48,,
1712470916,0,6,2135,3080,9888,158,146,173,336,5850,52,,
1712470918,4,27,477,2683,6782,142,133,156,305,5876,49,,
1712470919,0,5,552,2664,6455,123,115,133,261,5761,44,,
1712470921,0,5,519,1572,4978,103,94,107,208,5478,36,,
1712470923,1,6,-542,2067,8913,102,96,108,212,5616,39,,
1712470925,3,6,-490,2155,5744,102,94,104,202,5344,39,,
1712470927,0,4,458,1604,10331,110,98,108,216,5074,39,,
1712470929,1,7,-93,1451,6938,170,153,159,377,4845,69,,
1712470931,1,6,-2004,1413,8173,143,136,155,298,5810,54,,
1712470933,2,9,-678,2285,8062,131,123,145,280,5941,45,,
1712470935,1,6,888,-12,7008,133,125,148,287,5973,45,,
1712470937,1,7,-1316,1450,9693,140,132,157,305,6031,47,,
1712470939,0,5,178,331,6429,143,135,160,309,6020,49,,
1712470941,0,5,-1032,-2033,9213,136,129,153,297,6053,47,,
1712470943,1,5,-120,1383,9111,129,123,147,286,6140,44,,
1712470945,5,6,680,-282,7079,128,121,144,281,6047,44,,
1712470947,3,5,-66,1358,11831,128,121,143,279,5994,44,,
1712470949,0,6,-38,1748,7486,131,123,145,282,5931,45,,
1712470951,0,38,-138,-1716,7371,126,119,141,274,6017,43,,
1712470953,2,7,-1911,3729,8827,150,143,165,318,5915,56,,
1712470955,0,3,-517,1033,6697,136,128,148,285,5827,49,,
1712470957,3,7,-2121,4583,9109,138,131,151,291,5870,51,,
1712470959,0,5,-602,2755,4600,145,137,158,304,5844,53,,
1712470961,1,5,-2057,-659,9224,138,130,151,292,5861,49,,
1712470963,0,5,-1290,2064,10627,138,131,153,296,5963,49,,
1712470965,2,4,-1322,-184,6503,128,121,142,276,5952,45,,
1712470967,1,6,-617,1322,10005,127,119,140,270,5918,44,,
1712470969,1,4,-539,599,6943,126,118,138,264,5883,44,,
1712470971,1,7,-1598,-342,8792,133,125,146,279,5898,47,,
1712470973,0,3,-1003,2012,8447,133,124,144,275,5799,47,,
1712470975,0,4,331,-639,8072,133,124,144,276,5791,47,,
1712470977,3,8,-1144,2130,9450,141,131,152,290,5767,49,,
1712470979,0,6,-6,-1028,8092,142,132,153,293,5759,50,,
1712470981,0,8,-944,1206,11605,128,119,138,265,5761,45,,
1712470983,3,7,-1948,1912,5417,128,119,138,264,5761,45,,
1712470985,4,6,405,-780,10626,131,122,142,269,5817,46,,
1712470987,0,6,-561,625,8707,133,124,143,273,5745,47,,
1712470989,1,6,-1646,-661,8572,129,121,140,268,5817,46,,
1712470991,1,9,-1355,2382,5805,126,117,137,264,5817,43,,
1712470993,3,3,-554,1971,10126,124,116,135,261,5826,44,,
1712470995,3,3,461,1270,6410,119,112,130,252,5845,42,,
1712470997,0,9,-2217,1538,7821,214,181,205,378,4868,66,,
1712470999,17,7,-1290,-505,10445,194,165,188,347,4957,59,,
1712471001,0,7,-2391,2227,7448,193,164,188,346,4998,58,,
1712471003,3,7,1171,653,5977,192,162,186,342,4955,57,,
1712471005,1,10,-1499,2105,8755,174,149,171,317,5068,53,,
1712471007,2,6,-649,1092,7495,167,143,164,304,5061,51,,
1712471009,1,8,-1660,-424,7538,172,146,167,307,4971,52,,
1712471011,2,6,-1459,2260,9005,179,151,173,317,4935,53,,
1712471013,4,5,-1365,593,5564,213,178,203,370,4823,63,,
1712471015,2,7,670,2305,11561,181,153,175,320,4938,54,,
1712471017,0,4,-991,2217,9570,180,152,173,317,4890,54,,
1712471019,2,7,-58,343,7317,190,160,182,333,4866,57,,
1712471021,2,8,50,1254,9355,237,198,223,407,4724,72,,
1712471022,3,6,-654,816,7403,187,157,179,326,4858,56,,
1712471024,2,3,-350,2523,10265,191,161,183,333,4862,58,,
1712471026,0,7,660,2297,5508,173,148,169,312,5019,53,,
1712471028,2,6,-1312,-1059,9704,172,147,168,309,5017,53,,
1712471030,2,5,-642,2234,6843,178,153,175,323,5069,55,,
1712471032,4,7,1355,-131,6696,176,150,172,317,5023,53,,
1712471034,0,1,-1089,1246,10740,180,153,175,321,4982,54,,
1712471036,0,1,864,-526,7017,179,152,173,318,4935,55,,
1712471038,0,7,472,1183,9479,189,160,182,333,4904,57,,
1712471040,0,11,-909,4250,7159,222,193,206,393,4636,81,,
1712471042,3,17,-1377,3019,7118,242,213,229,439,4788,90,,
1712471044,0,8,-688,1508,7879,194,161,179,329,4579,60,,
1712471046,2,3,1209,-815,6820,174,150,169,313,4974,56,,
1712471048,3,10,1377,-85,7634,245,207,227,418,4604,81,,
1712471050,1,9,387,-1969,6592,255,214,236,433,4592,82,,
1712471052,0,9,3413,-1036,7751,264,223,244,449,4581,87,,
1712471054,14,7,4219,-2289,9055,250,209,230,420,4544,80,,
1712471056,0,9,1196,459,8947,266,231,250,470,4724,95,,
1712471058,1,4,228,-1439,7202,221,182,205,372,4609,65,,
1712471060,2,1,377,2976,8967,81,75,87,170,5709,28,,
1712471062,1,4,-796,1083,6490,99,89,105,202,5624,31,,
1712471064,3,7,146,1792,8173,99,90,106,204,5694,32,,
1712471066,2,4,-413,1496,10334,86,80,94,182,5849,29,,
1712471068,0,5,1003,-526,6640,83,76,89,174,5697,27,,
1712471070,2,3,86,1132,6058,114,102,117,223,5394,38,,
1712471072,3,8,2395,-149,6056,180,149,166,303,4566,55,,
1712471074,0,7,870,497,7642,208,174,192,351,4572,66,,
1712471076,2,6,-538,1615,7957,121,104,118,218,5007,38,,
1712471078,0,3,-913,1702,8585,109,98,113,213,5473,36,,
1712471080,1,3,-3534,2253,5233,102,91,104,196,5347,34,,
1712471082,1,4,-1282,4382,7953,83,76,87,170,5539,29,,
1712471084,0,7,-1651,2101,10833,149,127,141,266,4789,48,,
1712471086,5,7,-101,2678,6897,153,132,146,273,4840,51,,
1712471088,0,4,-2819,1937,9177,75,67,78,151,5479,24,,
1712471090,0,6,-1293,2362,10186,123,108,119,229,4959,43,,
1712471092,2,6,-1735,1493,10019,146,122,132,249,4449,48,,
1712471094,1,1,-1179,1749,6109,30,26,28,61,4799,10,,
1712471096,3,2,-2212,2678,9985,32,29,32,69,5201,11,,
1712471098,2,2,-3051,2522,7793,33,31,35,74,5563,12,,
1712471100,1,6,-1106,-707,8121,26,23,25,55,4976,9,,
1712471102,6,0,90,-23,9720,35,32,36,74,5382,12,,
1712471104,0,3,436,2522,8349,31,27,30,64,5000,10,,
1712471106,1,0,936,977,7806,35,30,33,68,4820,11,,
1712471108,3,1,-532,2159,7227,63,59,68,136,5730,22,,
1712471110,1,3,560,-1444,8547,34,31,35,74,5382,12,,
1712471112,0,0,-542,435,9234,23,18,19,42,4112,7,,
1712471114,0,0,-1538,-660,7775,20,15,15,35,3735,6,,
1712471116,0,1,885,-803,8813,32,28,32,68,5201,10,,
1712471118,0,0,1147,-1723,8491,39,37,44,93,5933,13,,
1712471120,4,0,1187,-1599,8262,39,37,43,91,5810,14,,
1712471122,0,6,927,-1877,7928,39,36,43,91,5787,12,,
1712471123,0,7,703,-1801,8451,38,35,41,87,5658,12,,
1712471125,1,0,1384,-752,7806,38,36,42,90,5810,13,,
1712471127,2,0,442,-2547,7971,39,37,43,91,5810,14,,
1712471129,2,3,551,-2331,8216,38,35,41,87,5658,12,,
1712471131,2,4,85,-1952,7386,36,34,39,83,5697,13,,
1712471133,0,1,-976,-2306,7844,22,17,18,40,4112,6,,
1712471135,3,3,1130,-2292,7208,16,12,12,29,3815,4,,
1712471137,2,1,89,-2529,7517,16,12,11,27,3296,5,,
1712471139,2,4,145,-2282,7984,15,11,11,26,3677,4,,
1712471141,6,2,-752,-1487,8148,14,10,10,24,3507,3,,
1712471143,5,0,-806,-1659,8274,14,10,10,24,3507,3,,
1712471145,3,2,588,-3019,9024,15,11,10,25,3296,5,,
1712471147,0,0,-809,-2073,6844,16,12,11,27,3296,5,,
1712471149,3,0,-1229,-2698,7759,14,10,9,24,3296,4,,
1712471151,4,5,774,-1794,7948,16,11,11,27,3469,4,,
1712471153,4,7,15,-2291,6747,15,11,11,26,3677,4,,
1712471155,0,0,-1015,461,5661,29,26,30,63,5412,9,,
1712471157,5,0,-1062,1399,7824,51,47,55,110,5709,17,,
1712471159,0,3,-786,2768,11909,31,27,30,62,4989,10,,
1712471161,3,0,-2245,-1139,12142,31,27,30,64,5000,10,,
1712471163,2,0,-965,-923,10004,38,33,38,77,5201,11,,
1712471165,4,2,-691,1716,8152,31,26,29,60,4777,9,,
1712471167,0,4,-814,579,6205,36,31,34,69,4820,12,,
1712471169,6,4,-2531,1674,9155,40,34,37,75,4681,13,,
1712471171,0,3,-2109,1489,7575,48,39,44,84,4591,13,,
1712471173,0,1,-598,1754,7644,80,65,72,131,4377,23,,
1712471175,2,4,-1373,1374,7765,79,67,76,141,4907,24,,
1712471177,3,5,-620,1262,8138,84,72,81,151,4922,27,,
1712471179,0,6,-502,1221,8172,85,72,82,151,4922,26,,
1712471181,5,51,-688,1798,7492,84,72,81,151,4922,27,,
1712471183,4,4,-901,-235,7321,100,84,96,176,4883,29,,
1712471185,2,3,-280,1082,8450,79,70,80,151,5296,26,,
1712471187,0,4,502,1252,9850,114,95,107,194,4697,34,,
1712471189,1,7,607,599,9012,168,135,150,268,4298,48,,
1712471191,0,4,574,-454,8328,102,85,97,181,4827,30,,
1712471193,0,5,-28,1447,8995,103,86,99,183,4902,29,,
1712471195,2,0,-39,-733,7968,57,51,60,117,5558,18,,
1712471197,0,10,-2211,-323,6854,65,58,68,130,5527,20,,
1712471199,0,2,-1372,-2063,8197,81,69,78,146,4915,25,,
1712471201,3,0,-1596,-233,8317,76,67,77,146,5298,24,,
1712471203,4,0,-464,-507,7224,61,53,61,118,5201,19,,
1712471205,5,0,461,-3511,7390,16,12,12,29,3815,4,,
1712471207,0,3,-400,-362,7133,27,22,23,50,4248,9,,
1712471209,3,3,630,-2070,8192,79,68,77,148,5015,25,,
1712471211,3,3,1684,-3650,9094,52,44,50,99,4938,15,,
1712471213,0,3,1105,-3545,7418,24,19,20,45,4185,7,,
1712471215,2,0,-82,-532,8246,52,46,52,102,5201,17,,
1712471217,0,7,-96,-1901,9413,86,73,84,155,5019,25,,
1712471219,4,5,-1586,-2213,8535,71,62,70,134,5098,23,,
1712471221,5,4,-1900,-894,8008,135,113,126,227,4647,42,,
1712471223,1,5,-693,-66,6887,73,63,71,135,4995,23,,
1712471225,0,5,-2957,-3805,7756,88,82,92,174,5547,33,,
1712471227,6,0,447,-502,8204,94,82,93,174,5119,30,,
1712471229,4,3,-164,-2236,8248,127,109,121,220,4813,42,,
1712471231,2,0,-183,797,6992,136,114,126,225,4576,43,,
1712471232,0,6,288,-65,6942,139,115,128,230,4535,42,,
1712471234,3,3,88,-1445,8268,79,65,74,136,4699,22,,
1712471236,0,3,-312,-718,8073,85,70,79,146,4643,25,,
1712471238,0,3,486,-1807,9626,58,50,58,111,5201,17,,
1712471240,0,4,373,-2334,8039,89,74,82,152,4580,27,,
1712471242,0,3,610,-2186,7956,88,73,82,152,4669,26,,
1712471244,0,2,1155,-2343,8199,74,62,70,131,4789,22,,
1712471246,0,4,240,-479,8260,84,69,78,143,4629,24,,
1712471248,3,3,116,-1355,8944,43,38,43,87,5201,14,,
1712471250,2,0,-1229,-983,6345,47,41,47,93,5201,15,,
1712471252,4,4,-1610,-3733,9645,59,49,56,107,4832,17,,
1712471254,3,0,-1284,-84,8249,53,43,48,91,4495,15,,
1712471256,4,9,-1316,-249,5328,22,18,20,45,4693,6,,
1712471258,4,0,-4020,1937,9060,20,17,19,42,4907,6,,
