timestamp,uv,accelX,accelY,accelZ,r,g,b,c,colorTemp,lux,target,code
1716387016,6,727,3028,10898,5715,6370,7220,16458,6536,2914,,
1716387018,8,-650,1554,7950,6634,7347,8268,19113,6429,3391,,
1716387020,7,-782,1762,6128,5477,5995,6789,15562,6411,2715,,
1716387022,7,-439,1385,5665,4776,5243,5974,13347,6522,2352,,
1716387024,6,814,497,6432,4879,5386,6142,13709,6564,2421,,
1716387026,7,-622,-872,8188,5140,5621,6336,14081,6455,2565,,
1716387028,0,-1013,-1750,12030,5516,5992,6667,15271,6280,2787,,
1716387030,7,-1612,1974,10450,5372,5853,6627,14598,6477,2643,,
1716387032,11,-2086,1249,11896,5561,6099,6883,15312,6477,2783,,
1716387034,7,-865,2419,11457,5942,6411,7080,15905,6238,3007,,
1716387036,7,-1538,2182,11143,6462,7122,7892,17733,6387,3366,,
1716387038,6,-2767,1743,12101,6534,7171,7650,18122,6065,3598,,
1716387040,8,-3774,2699,10274,5955,6540,7125,16377,6229,3174,,
1716387042,6,-3449,1892,11087,5995,6416,6919,15803,6032,3116,,
1716387044,8,-2029,-500,10242,8794,9350,9974,22849,5930,4602,,
1716387046,8,-1124,-1567,8920,9398,9907,10528,23958,5867,4880,,
1716387048,6,2012,848,8621,4062,4266,4505,9798,5864,2117,,
