timestamp,uv,light,accelX,accelY,accelX,r,g,b,c,colorTemp,lux,,
1712470664,352,55,-875,2543,8172,2885,2916,2127,8011,4199,2109,,
1712470666,360,63,1878,5915,5502,3012,3072,2246,8512,4232,2227,,
1712470668,368,57,2491,5266,5554,3154,3234,2354,8931,4234,2357,,
1712470670,372,84,2132,3673,5891,3404,3486,2535,9623,4228,2541,,
1712470672,385,63,-195,89,7006,3033,3282,2481,9054,4507,2379,,
1712470674,385,80,212,1870,7542,3560,3998,3040,11000,4644,2929,,
1712470676,355,108,-435,1410,7740,3743,3926,3010,11002,4454,2778,,
1712470678,357,94,-1066,-89,7655,3151,3356,2519,9318,4436,2430,,
1712470680,355,74,-965,1705,8805,3283,3600,2701,9938,4525,2639,,
1712470682,359,62,642,1854,7811,2327,2428,1693,6673,4162,1837,,
1712470684,351,50,322,1050,8144,1583,1504,1091,4207,4016,1061,,
1712470686,358,31,582,940,8303,1595,1614,1181,4456,4212,1165,,
1712470688,358,24,-440,1361,8530,1278,1252,894,3503,4056,906,,
1712470690,345,28,131,-284,8478,1324,1341,972,3687,4188,975,,
1712470692,353,24,858,-811,8722,1397,1515,1166,4192,4571,1084,,
1712470694,340,41,-108,-749,7450,2038,2295,1832,6346,4815,1619,,
1712470696,356,79,-451,65,10438,2870,3351,2690,9226,4962,2388,,
1712470698,355,65,41,1540,8235,2461,2720,2110,7538,4657,1949,,
1712470700,353,48,-156,1299,8161,2453,2747,2139,7607,4713,1973,,
1712470702,343,51,9,2653,7828,2788,3272,2612,9018,4960,2347,,
1712470704,354,62,414,-117,10682,2417,2732,2202,7585,4862,1915,,
1712470706,336,29,2561,-322,5715,1283,1319,1002,3637,4366,931,,
1712470708,310,26,3634,-970,5904,1439,1406,1008,3909,4059,1014,,
1712470709,310,53,-136,-640,10947,2401,2180,1561,6281,3868,1518,,
1712470711,292,83,3168,-371,8917,3434,3382,2471,9561,4132,2414,,
1712470713,315,84,803,84,9349,3753,3956,2944,11025,4379,2870,,
1712470715,303,102,606,608,10008,5090,5093,3780,14386,4220,3619,,
1712470717,297,114,-239,533,7775,4659,4961,4128,14156,4766,3296,,
1712470719,310,89,-1080,115,7559,4226,4392,3689,12476,4716,2860,,
1712470721,315,197,1734,-3561,7059,6607,6288,4761,18105,4136,4295,,
1712470723,312,88,909,-2514,9403,3893,4214,3108,11502,4432,3112,,
1712470725,283,40,1074,-2638,9983,2197,2574,2007,6923,4871,1880,,
1712470727,298,37,2949,-2666,7880,1903,2385,1927,6479,5249,1736,,
1712470729,326,102,1338,-1624,8939,3857,4259,3526,12016,4874,2889,,
1712470731,336,89,1933,-878,7657,3131,3853,3193,10573,5276,2727,,
1712470733,338,78,810,524,8153,3313,3972,3234,10938,5110,2826,,
1712470735,340,58,2235,-1629,6081,2346,2697,2199,7481,4962,1885,,
1712470737,328,83,1608,-1516,8098,3636,4008,3245,11268,4791,2770,,
1712470739,371,70,89,-1698,7369,3414,3988,3165,11034,4923,2869,,
1712470741,350,179,1535,-194,10455,5662,5316,3798,15294,3946,3772,,
1712470743,347,188,1525,-1520,8165,6831,6654,5061,19185,4213,4580,,
1712470745,358,95,1085,-117,9348,3512,3657,3233,10808,4898,2265,,
1712470747,346,69,1064,-643,7996,2119,2447,2138,6943,5235,1609,,
1712470749,331,37,1299,-132,9034,1733,2131,1716,5716,5163,1544,,
1712470751,341,62,1341,-1153,8073,2411,2563,1917,6945,4420,1859,,
1712470753,352,122,1886,98,8701,4013,4056,2923,11170,4166,2959,,
1712470755,344,252,1657,357,7681,7255,6348,4627,18491,3820,4277,,
1712470757,346,120,1414,903,10523,3895,4152,3147,11369,4469,2985,,
1712470759,354,92,898,-421,7653,3581,3900,3247,10438,4830,2616,,
1712470761,344,118,602,-819,9675,4149,4385,3610,12373,4706,2931,,
1712470763,338,90,643,1833,8690,4210,4367,3222,12075,4306,3167,,
1712470765,323,83,678,-685,8298,3482,3560,2662,9977,4303,2540,,
1712470767,315,74,972,-151,9105,3164,3247,2409,9075,4291,2334,,
1712470769,308,41,755,581,9183,2192,2134,1532,6014,4053,1535,,
1712470771,306,34,803,-1280,8286,1454,1377,982,3887,3964,982,,
1712470773,297,42,1434,625,9637,1690,1631,1171,4562,4030,1168,,
1712470775,306,72,1855,526,8317,2060,2038,1508,5616,4180,1444,,
1712470777,317,38,1165,-1340,9151,1785,1694,1170,4737,3888,1237,,
1712470779,345,56,1088,1411,8282,2434,2417,1650,6706,3973,1817,,
1712470781,326,73,300,-132,7699,3329,3467,2584,9684,4348,2500,,
1712470783,348,97,282,940,9055,4333,4597,3446,12724,4421,3326,,
1712470785,345,86,-380,802,8304,3918,4158,3129,11573,4433,3000,,
1712470787,354,129,-371,55,7643,4451,4752,3612,13199,4482,3411,,
1712470789,344,114,-46,2601,9452,4741,4971,3693,13800,4358,3603,,
1712470791,352,92,1104,1085,7213,4181,4556,3402,12559,4491,3343,,
1712470793,339,101,18,3525,8630,4096,4553,3845,12836,4967,3042,,
1712470795,345,64,-1699,3589,6488,2991,3491,3152,9804,5406,2232,,
1712470797,353,93,1593,2487,7325,3563,3946,3539,11225,5175,2481,,
1712470799,349,108,-69,2128,7554,4250,4371,3305,12177,4353,3100,,
1712470801,344,70,-1269,2695,8328,3444,3580,2642,9892,4313,2598,,
1712470803,335,71,-1390,2252,9513,3206,3404,2560,9457,4433,2458,,
1712470805,357,84,-598,1749,7868,3106,3138,2304,8792,4217,2258,,
1712470807,348,46,-1379,2140,7251,2558,2311,1638,6638,3830,1618,,
1712470809,338,27,-300,1686,8214,1373,1309,937,3669,3991,934,,
1712470811,371,36,-641,1412,7768,1475,1422,1040,3930,4075,1004,,
1712470813,339,35,-80,1735,7742,1505,1513,1103,4139,4183,1092,,
1712470815,349,44,-1067,2213,7425,2000,1966,1494,5354,4210,1360,,
