timestamp,uv,accelX,accelY,accelZ,r,g,b,c,colorTemp,lux,target,code
1716401938,4,-1146,4932,3747,4380,5195,6141,12970,7432,2282,,
1716401940,5,1129,681,6006,4689,5457,6424,13509,7293,2389,,
1716401942,0,4032,961,12514,4473,5282,6235,13156,7397,2321,,
1716401944,3,-128,1031,6892,4863,5592,6571,13753,7217,2438,,
1716401946,2,2549,-666,6322,4732,5480,6464,13534,7288,2382,,
1716401948,3,3821,6191,8739,4485,5303,6258,13193,7409,2333,,
1716401950,3,3637,4539,13744,4617,5399,6340,13335,7313,2382,,
1716401951,5,-202,4309,5422,4423,5222,6176,12977,7426,2286,,
1716401953,4,568,-94,5411,4433,5188,6148,12909,7376,2249,,
1716401955,2,2743,-851,13542,4491,5276,6267,13155,7418,2282,,
1716401957,4,1360,3700,7903,4018,4863,5790,12238,7610,2133,,
1716401959,6,5080,2972,9111,4279,5029,5980,12524,7438,2171,,
1716401961,4,-797,3319,6181,4396,5133,6088,12717,7389,2218,,
1716401963,3,816,-1099,8065,4538,5200,6141,12757,7252,2239,,
1716401965,4,-1220,6,10890,4508,5168,6107,12703,7253,2223,,
1716401967,2,-1135,10,5625,4366,5078,5989,12547,7316,2214,,
1716401969,7,3175,-894,8564,4140,4822,5687,11895,7334,2104,,
1716401971,4,-1888,118,12244,3676,4269,5050,10560,7329,1848,,
1716401973,4,-641,1983,7119,3554,4083,4817,10067,7239,1765,,
1716401975,1,-240,-651,6001,3807,4338,5091,10572,7177,1884,,
1716401977,2,3971,-3157,11298,4180,4805,5639,11736,7232,2099,,
1716401979,10,-1477,2428,9376,4123,4731,5565,11571,7236,2055,,
1716401981,3,-1343,1493,6890,3872,4431,5204,10842,7199,1927,,
1716401983,3,236,2509,5335,3452,3988,4694,9838,7254,1738,,
1716401985,3,-725,-1171,9807,3614,4170,4913,10307,7246,1812,,
1716401987,2,-2795,1764,3827,3795,4365,5128,10735,7217,1904,,
1716401989,3,-567,-1022,5591,3797,4356,5121,10733,7197,1894,,
1716401991,5,-2282,3460,9740,3780,4311,5064,10583,7162,1870,,
1716401993,0,-1526,1344,7295,3896,4447,5226,10929,7168,1929,,
1716401995,3,-50,1678,6872,4252,4828,5677,11847,7142,2084,,
1716401997,8,-1818,2435,11514,4330,4918,5775,12069,7130,2129,,
1716401999,3,-1538,-682,5535,4056,4668,5445,11505,7143,2065,,
1716402001,5,-345,-4829,7999,3881,4378,5116,10625,7078,1905,,
1716402003,3,-5202,-594,6526,4307,4852,5687,11771,7099,2097,,
1716402005,3,-1217,-977,4253,4668,5301,6180,12908,7091,2328,,
1716402006,4,-1637,-225,11679,4843,5519,6416,13465,7081,2442,,
1716402008,2,-1442,-387,5663,4920,5572,6550,13659,7124,2403,,
1716402010,4,-1093,-160,11344,4774,5420,6361,13294,7124,2349,,
1716402012,2,-500,-994,5891,4618,5251,6174,12973,7123,2269,,
1716402014,0,-3217,432,7972,4257,4859,5720,12080,7137,2100,,
1716402016,2,4340,-2397,13698,4271,4876,5732,12092,7135,2114,,
1716402018,3,-755,-302,2697,4551,5227,6127,12895,7172,2288,,
1716402020,2,360,2021,6759,4679,5393,6326,13335,7194,2363,,
1716402022,3,-2808,3618,2960,4785,5470,6416,13489,7146,2384,,
1716402024,3,-46,3671,7513,4609,5368,6296,13346,7244,2368,,
1716402026,3,-246,337,5700,4559,5248,6137,12946,7165,2311,,
1716402028,3,-3098,5018,6809,4489,5189,6073,12847,7188,2287,,
1716402030,3,3177,2849,10036,4128,4906,5696,12270,7262,2234,,
1716402032,3,377,4155,8063,4163,4895,5706,12168,7252,2198,,
1716402034,2,-3491,3944,4360,4219,4996,5827,12482,7285,2250,,
1716402036,3,1807,2205,11570,4243,5000,5854,12496,7286,2229,,
1716402038,2,537,4057,6523,3996,4834,5609,12160,7352,2227,,
1716402040,2,-1237,6721,6620,3937,4764,5529,11973,7360,2194,,
1716402042,4,-1303,5080,10728,3887,4698,5460,11818,7361,2157,,
1716402044,3,3379,4628,11611,3800,4540,5308,11404,7346,2047,,
