timestamp,uv,light,accelX,accelY,accelZ,r,g,b,c,colorTemp,lux,target,code
1712471152,54,270,18,788,8043,8644,10893,14132,28682,8600,4043,,
1712471154,42,219,1153,-581,8151,5721,6658,8371,17000,7826,2524,,
1712471156,37,246,2891,-1417,7741,5867,6748,8442,17136,7712,2567,,
1712471158,44,272,1960,-476,8038,7802,9136,11625,23630,7930,3378,,
1712471160,52,255,2302,-835,7813,8239,9667,12379,25128,7987,3522,,
1712471162,51,270,2489,-798,7892,7997,9407,12026,24436,7991,3449,,
1712471164,51,274,2466,-815,7849,7892,9300,11884,24161,7999,3418,,
1712471166,50,280,2344,-766,7951,8735,9946,12539,25387,7691,3685,,
1712471168,51,278,2570,-682,7927,8014,9401,11992,24361,7961,3459,,
1712471170,42,277,3516,780,8152,7211,8469,10588,21734,7803,3276,,
1712471172,57,282,2234,2348,7957,10005,12251,15634,31726,8298,4645,,
1712471174,59,274,2442,1617,7732,10012,12312,15744,31947,8342,4659,,
1712471176,60,281,2303,1691,7727,10009,12286,15706,31864,8328,4646,,
1712471178,63,274,2338,1672,7772,10012,12309,15733,31932,8336,4662,,
1712471180,63,268,2393,1768,7783,10019,12317,15737,31936,8335,4669,,
1712471182,64,256,2037,1260,7641,10032,12332,15752,31970,8332,4678,,
1712471184,63,268,3374,254,6057,9930,12060,15593,31083,8430,4398,,
1712471186,66,278,3640,-1023,7531,10204,12247,16064,31753,8473,4260,,
1712471188,79,274,2593,-220,6960,13213,15061,19139,37410,7950,5474,,
1712471190,88,252,2427,1215,4349,57630,48890,55079,65535,0,18143,,
1712471192,84,270,1009,302,5606,41415,36234,41198,65535,0,13591,,
1712471194,69,254,-304,-403,5541,12614,14180,17116,35130,7286,5758,,
1712471196,50,280,-551,-568,6480,14103,15160,17363,36742,6556,6641,,
1712471198,31,272,-218,-172,7295,11631,12204,13942,28896,6425,5282,,
1712471200,29,254,-435,-727,8032,11851,12558,14087,30067,6316,5663,,
1712471202,23,279,2087,237,6771,14359,14392,15832,33375,5842,6466,,
1712471204,31,273,337,-614,7091,15556,15729,17239,35884,5895,7158,,
1712471206,26,277,996,-586,5593,15828,15916,17380,36422,5824,7262,,
1712471207,30,269,1040,1084,7935,15388,15354,16853,34109,5846,6903,,
1712471209,34,253,3313,1095,7487,12132,12538,14255,29498,6291,5417,,
1712471211,37,273,4446,2825,9041,24420,23647,24853,51538,5321,11205,,
1712471213,37,246,3487,1623,8641,63004,65535,65535,65535,0,35017,,
1712471215,34,272,2845,445,9034,26134,23704,25523,52827,5044,10248,,
1712471217,35,281,2518,491,10528,24446,23526,25091,51875,5378,10831,,
1712471219,34,271,3508,1595,8797,20918,20079,21511,44862,5387,9156,,
1712471221,35,274,3742,2026,9308,27834,27797,28978,61363,5469,13628,,
1712471223,61,276,3738,1470,9372,14110,15018,16873,35751,6372,6773,,
1712471225,27,256,3478,1489,9823,11891,12762,14084,30489,6276,5974,,
1712471227,23,278,1090,448,7411,12854,13120,13994,30482,5736,6292,,
1712471229,21,276,2827,-425,5776,8382,8599,9325,20536,5854,4026,,
1712471231,18,282,4714,70,6413,9369,9388,9626,21080,5372,4730,,
1712471233,30,276,4385,-1783,7368,7420,8777,10609,22215,7571,3679,,
1712471235,46,280,5508,-1768,10217,8566,10419,12909,26706,7971,4215,,
1712471237,54,256,-207,1157,10329,9530,11539,14552,29768,8098,4468,,
1712471239,57,258,-1161,1002,9633,9302,11093,14304,28770,8207,4019,,
1712471241,61,273,-308,773,11893,10826,12659,15970,32270,7910,4777,,
1712471243,84,275,-3305,-2392,7272,49812,46768,51101,65535,0,20243,,
1712471245,117,269,-2701,-454,5937,65535,65535,65535,65535,0,34196,,
1712471247,107,275,-2216,989,7071,15138,16752,19494,39955,6962,7258,,
1712471249,94,273,-298,687,8498,65488,65361,65535,65535,0,33936,,
1712471251,107,283,-624,1722,9209,65535,65535,65535,65535,0,34196,,
1712471253,113,277,-4543,492,9333,65535,65535,65535,65535,0,34196,,
1712471255,105,247,313,2184,9805,65535,65535,65535,65535,0,34196,,
1712471257,95,275,1521,517,10406,65535,65535,65535,65535,0,34196,,
1712471259,90,255,2171,2097,10100,65535,65535,65535,65535,0,34196,,
1712471261,93,279,357,910,9474,65535,65535,65535,65535,0,34196,,
1712471263,79,276,3402,2458,9422,16005,17892,21628,44039,7288,7214,,
1712471265,91,285,5273,3158,9417,65535,65535,65535,65535,0,34196,,
1712471267,93,283,6403,3589,9220,63388,53797,57199,65535,0,22467,,
1712471269,102,283,4750,4172,8934,65535,65535,65535,65535,0,34196,,
1712471271,98,247,747,1691,10627,65535,65535,65535,65535,0,34196,,
1712471273,113,282,1425,2449,9890,65535,65535,65535,65535,0,34196,,
1712471275,97,280,1420,2569,9881,65535,65535,65535,65535,0,34196,,
1712471277,86,282,-2437,1078,6414,65535,65535,65535,65535,0,34196,,
1712471279,55,263,173,-1708,7171,65535,59451,61854,65535,0,27287,,
1712471281,81,272,-3472,-271,7846,65535,65535,65535,65535,0,34196,,
