timestamp,uv,accelX,accelY,accelZ,r,g,b,c,colorTemp,lux,target
1716387392,5,138,525,8413,1996,2085,2190,5342,5683,1039,,
1716387394,1,144,536,8343,2000,2087,2192,5349,5677,1040,,
1716387396,3,162,531,8333,1997,2084,2188,5341,5675,1039,,
1716387398,5,140,510,8400,1994,2081,2185,5337,5675,1037,,
1716387400,3,144,545,8339,2007,2094,2198,5367,5673,1044,,
1716387402,3,175,548,8353,2014,2099,2203,5380,5666,1046,,
1716387404,3,136,519,8364,2031,2115,2218,5422,5657,1055,,
1716387406,3,264,527,8335,2033,2114,2217,5422,5649,1053,,
1716387408,4,195,509,8384,2032,2115,2216,5411,5651,1056,,
1716387410,2,156,510,8369,2018,2097,2197,5370,5641,1046,,
1716387412,5,164,544,8400,2039,2120,2219,5424,5640,1060,,
1716387414,4,153,555,8346,2044,2123,2223,5433,5636,1060,,
1716387416,5,178,543,8341,2058,2137,2237,5458,5635,1067,,
1716387418,4,157,552,8322,2047,2126,2226,5442,5635,1061,,
1716387420,3,160,540,8358,2055,2136,2237,5468,5641,1066,,
1716387422,18,189,538,8363,2057,2137,2237,5469,5636,1067,,
1716387424,5,169,533,8420,2074,2152,2251,5508,5625,1075,,
1716387426,6,213,541,8408,2080,2156,2254,5517,5616,1077,,
1716387428,17,177,523,8364,2042,2117,2210,5407,5611,1060,,
1716387430,5,124,490,8331,2036,2108,2202,5402,5605,1054,,
1716387432,4,162,518,8352,2114,2188,2281,5603,5592,1097,,
1716387434,4,154,540,8324,2148,2220,2313,5679,5582,1113,,
1716387436,1,140,530,8332,2156,2227,2319,5699,5576,1117,,
1716387438,3,150,513,8363,2174,2245,2335,5745,5568,1128,,
1716387440,5,149,517,8284,2209,2275,2364,5815,5549,1143,,
1716387442,3,139,498,8364,2224,2287,2373,5849,5533,1150,,
1716387444,5,134,507,8373,2237,2298,2383,5881,5524,1156,,
1716387446,7,141,525,8336,2260,2320,2403,5937,5514,1169,,
1716387448,5,133,480,8389,2273,2328,2409,5955,5497,1173,,
1716387450,4,118,507,8357,2326,2382,2465,6103,5496,1200,,
1716387452,1,168,486,8324,2297,2350,2430,6017,5487,1184,,
1716387454,1,309,496,8378,2270,2324,2402,5944,5489,1173,,
1716387456,4,549,390,8349,2276,2323,2406,5955,5483,1166,,
1716387458,5,549,370,8343,2252,2300,2383,5892,5489,1154,,
1716387460,5,558,464,8359,2087,2150,2231,5470,5546,1083,,
1716387462,0,649,459,8360,1886,1970,2046,4971,5629,999,,
1716387464,1,569,436,8314,2194,2256,2336,5751,5523,1138,,
1716387466,2,579,401,8342,2213,2273,2352,5800,5513,1147,,
1716387468,4,549,383,8349,2224,2285,2365,5832,5516,1153,,
1716387470,0,581,398,8305,2223,2285,2365,5830,5518,1153,,
1716387472,3,571,391,8325,2210,2273,2352,5794,5521,1148,,
1716387474,4,513,401,8359,2221,2283,2361,5821,5514,1154,,
1716387476,4,560,385,8357,2233,2294,2372,5849,5511,1159,,
1716387478,3,583,380,8342,2254,2314,2392,5899,5505,1169,,
1716387480,2,627,407,8339,2278,2336,2411,5951,5492,1182,,
1716387482,5,627,409,8363,2304,2360,2433,6009,5480,1196,,
1716387484,4,596,400,8307,2330,2385,2456,6069,5470,1210,,
1716387486,4,606,397,8325,2348,2401,2470,6107,5460,1219,,
1716387488,1,590,401,8383,2374,2425,2492,6163,5449,1232,,
1716387490,3,599,408,8358,2385,2435,2500,6187,5441,1239,,
1716387492,5,587,369,8324,2404,2453,2517,6232,5435,1249,,
1716387494,1,614,412,8298,2420,2467,2530,6267,5428,1256,,
1716387496,1,598,396,8327,2429,2475,2536,6287,5421,1261,,
1716387498,6,597,403,8344,2447,2491,2552,6328,5415,1269,,
1716387500,3,601,399,8340,2459,2501,2559,6351,5404,1276,,
1716387502,2,586,380,8323,2497,2535,2591,6439,5389,1294,,
1716387504,1,602,398,8341,2525,2560,2615,6504,5378,1306,,
1716387506,0,599,372,8330,2542,2574,2627,6537,5368,1314,,
1716387508,2,595,429,8354,2573,2600,2651,6605,5352,1328,,
1716387510,2,581,420,8304,2677,2688,2733,6836,5305,1373,,
1716387512,4,586,412,8297,2680,2691,2734,6847,5301,1376,,
1716387514,4,598,378,8337,2712,2721,2763,6919,5294,1391,,
1716387516,2,640,412,8373,2738,2740,2780,6963,5277,1401,,
1716387518,3,587,430,8303,2756,2755,2791,7001,5264,1410,,
1716387520,4,597,391,8295,2782,2775,2810,7048,5251,1420,,
1716387522,1,551,373,8272,2820,2807,2839,7145,5234,1437,,
1716387524,5,573,396,8405,2826,2819,2853,7172,5248,1443,,
1716387526,1,548,338,8358,2829,2816,2847,7163,5232,1442,,
1716387528,4,594,411,8370,2859,2839,2867,7224,5214,1454,,
1716387530,2,599,405,8351,2853,2838,2866,7217,5223,1455,,
1716387532,2,611,391,8351,2873,2854,2881,7259,5214,1463,,
1716387534,5,559,387,8313,2852,2837,2862,7208,5218,1457,,
1716387536,0,581,405,8269,2893,2879,2905,7315,5221,1478,,
1716387538,4,626,425,8304,2889,2877,2901,7304,5221,1479,,
1716387540,3,580,405,8289,2908,2896,2920,7349,5221,1489,,
1716387542,1,606,400,8350,2918,2907,2930,7365,5221,1496,,
1716387544,2,624,414,8360,2902,2890,2912,7323,5218,1488,,
1716387546,5,644,350,8297,2846,2845,2867,7192,5237,1468,,
1716387548,2,586,410,8299,2607,2640,2665,6606,5314,1369,,
1716387550,3,606,416,8280,2806,2816,2840,7117,5261,1455,,
1716387552,1,610,417,8338,2820,2837,2862,7155,5275,1467,,
1716387554,0,582,392,8373,2816,2838,2865,7157,5288,1468,,
1716387556,3,600,381,8406,2797,2824,2851,7117,5298,1462,,
1716387558,2,593,400,8296,2799,2830,2859,7127,5308,1465,,
1716387560,4,575,368,8343,2805,2839,2868,7145,5314,1471,,
1716387562,3,586,388,8347,2791,2827,2855,7112,5316,1466,,
1716387564,1,587,372,8327,2783,2821,2851,7091,5324,1462,,
1716387566,5,605,358,8371,2779,2819,2850,7088,5329,1461,,
1716387568,3,590,388,8335,2778,2820,2850,7085,5331,1463,,
1716387570,3,583,359,8370,2783,2824,2856,7103,5333,1463,,
1716387572,7,588,379,8362,2764,2804,2837,7049,5334,1451,,
1716387574,3,647,383,8345,2753,2792,2823,7016,5329,1446,,
1716387576,5,609,377,8333,2824,2850,2885,7176,5309,1469,,
1716387578,4,624,411,8359,2845,2871,2901,7222,5300,1484,,
1716387580,34,639,379,8324,2737,2769,2793,6932,5304,1437,,
1716387582,3,679,417,8348,2773,2802,2824,7016,5294,1455,,
1716387584,2,632,395,8338,2803,2827,2847,7084,5280,1468,,
1716387586,4,615,388,8324,2831,2849,2867,7144,5265,1479,,
1716387588,2,647,419,8341,2684,2715,2729,6772,5286,1416,,
