timestamp,uv,accelX,accelY,accelZ,r,g,b,c,colorTemp,lux,target
1712470886,223,2177,-1909,10730,65535,65535,65535,65535,0,34196,,
1712470888,210,4604,-1413,11121,65535,65535,65535,65535,0,34196,,
1712470890,247,4226,-396,9219,65535,65535,65535,65535,0,34196,,
1712470892,273,1599,-1152,6996,65535,65535,65535,65535,0,34196,,
1712470894,252,2040,-1587,7884,65535,65535,65535,65535,0,34196,,
1712470896,250,1301,-1896,7109,65535,65535,65535,65535,0,34196,,
1712470898,238,1229,-1939,6627,65535,65535,65535,65535,0,34196,,
1712470900,232,2228,-1725,8120,65535,65535,65535,65535,0,34196,,
1712470902,210,3395,-1060,8493,65535,65535,65535,65535,0,34196,,
1712470904,176,2444,178,8656,65535,65535,65535,65535,0,34196,,
1712470906,226,3682,-1132,8325,65535,65535,65535,65535,0,34196,,
1712470908,221,1294,-1418,7202,65535,65535,65535,65535,0,34196,,
1712470910,225,2092,-972,7577,65535,65535,65535,65535,0,34196,,
1712470912,207,797,-613,7058,65535,65535,65535,65535,0,34196,,
1712470914,200,1721,-898,7646,65535,65535,65535,65535,0,34196,,
1712470916,212,565,-2090,6438,65535,65535,65535,65535,0,34196,,
1712470918,219,2308,-222,7879,65535,65535,65535,65535,0,34196,,
1712470920,216,1893,-487,7292,65535,65535,65535,65535,0,34196,,
1712470922,226,3014,-1364,8390,65535,65535,65535,65535,0,34196,,
1712470924,227,2325,-655,9989,65535,65535,65535,65535,0,34196,,
1712470926,223,-404,-692,8470,65535,65535,65535,65535,0,34196,,
1712470928,135,-269,1223,10478,65535,65535,65535,65535,0,34196,,
1712470930,156,-1300,1194,7920,65535,65535,65535,65535,0,34196,,
1712470932,228,108,1878,8321,65535,65535,65535,65535,0,34196,,
1712470934,242,1321,1262,7786,65535,65535,65535,65535,0,34196,,
1712470936,135,1468,5196,6241,65535,65535,65535,65535,0,34196,,
1712470938,115,1621,4720,6096,65535,65535,65535,65535,0,34196,,
1712470940,109,711,3196,7816,65535,65535,65535,65535,0,34196,,
1712470942,147,-216,1673,8616,65535,65535,65535,65535,0,34196,,
1712470944,137,-1875,778,7973,65535,65535,65535,65535,0,34196,,
1712470946,131,-1468,1384,8766,65535,65535,65535,65535,0,34196,,
1712470948,157,241,1096,10606,65535,65535,65535,65535,0,34196,,
1712470950,167,463,81,11507,65535,65535,65535,65535,0,34196,,
1712470952,189,3290,326,9817,65535,65535,65535,65535,0,34196,,
1712470954,211,3137,-350,8920,65535,65535,65535,65535,0,34196,,
1712470976,174,-635,-1169,6441,65535,65535,65535,65535,0,34196,,
1712470978,221,-2167,-2454,10427,65535,65535,65535,65535,0,34196,,
1712470980,186,-1875,-684,6914,19490,21708,26247,52326,7358,8725,,
1712470982,209,-92,89,8459,65535,65535,65535,65535,0,34196,,
1712470984,237,-2349,1022,10021,65535,65535,65535,65535,0,34196,,
1712470986,220,-563,1484,7531,65535,65535,65535,65535,0,34196,,
1712470988,217,-3427,1366,8539,65535,65535,65535,65535,0,34196,,
1712470990,220,-741,2424,6260,65535,65535,65535,65535,0,34196,,
1712470992,222,19,-3093,6490,65535,65535,65535,65535,0,34196,,
1712470994,201,-1576,304,9464,52052,58939,64432,65535,0,28969,,
1712470996,240,-3186,-950,5295,65535,65535,65535,65535,0,34196,,
1712470998,230,381,785,7251,65535,65535,65535,65535,0,34196,,
1712471000,222,2130,-765,12328,65535,65535,65535,65535,0,34196,,
1712471002,260,-3151,-927,10867,65535,65535,65535,65535,0,34196,,
1712471004,250,-1994,941,4867,65535,65535,65535,65535,0,34196,,
1712471006,248,-128,-250,6764,65535,65535,65535,65535,0,34196,,
1712471008,245,-626,-3416,10705,65535,65535,65535,65535,0,34196,,
1712471010,240,-3161,970,11212,65535,65535,65535,65535,0,34196,,
1712471012,242,-3390,-417,6803,65535,65535,65535,65535,0,34196,,
