timestamp,uv,light,accelX,accelY,accelX,r,g,b,c,colorTemp,lux,,
1712470666,8,713,13830,-6140,-173,36714,32039,32990,60974,4332,14504,,
1712470668,17,677,-3293,4196,7575,19158,19212,20249,40336,5615,9283,,
1712470670,12,690,-3154,-2042,6502,17670,18553,20682,41160,6372,8409,,
1712470672,16,683,-2974,-112,7056,17493,18496,20458,40995,6357,8540,,
1712470674,11,721,-2442,-1281,10664,25043,23648,26407,50579,5607,9867,,
1712470676,13,736,-1403,-2515,8211,65535,59625,62868,65535,0,26820,,
1712470678,10,704,-643,-712,4734,44586,37918,41240,65535,0,15189,,
1712470680,5,691,1699,-4115,6864,60948,51630,54216,65535,0,22022,,
1712470682,16,679,2411,-4102,11605,65535,61923,64803,65535,0,29030,,
1712470684,14,698,128,-2967,12548,65535,61060,63886,65535,0,28339,,
1712470686,19,699,-512,-2393,11343,56758,47642,49714,65535,0,20383,,
1712470688,17,648,-2621,-2642,7134,37839,33027,35476,65535,0,13878,,
1712470690,14,663,-2149,-1575,5145,65535,63585,65535,65535,0,31118,,
1712470692,16,734,372,-2253,5909,65535,59012,62333,65535,0,26244,,
1712470694,15,723,1678,-775,7426,61719,51046,53647,65535,0,21267,,
1712470696,14,696,-2401,-802,9683,61119,50803,53280,65535,0,21346,,
1712470698,4,656,-2688,-3108,11809,30649,27561,28865,53844,4716,12424,,
1712470700,15,721,34,-749,6741,48808,41768,44131,65535,0,17779,,
1712470702,14,719,488,-2319,5414,24414,23417,25437,49241,5515,10416,,
1712470704,29,689,-2382,-3476,12426,17114,17192,20065,39612,6355,6893,,
1712470706,19,678,-3191,143,6370,17678,18874,21427,43542,6566,8368,,
1712470708,14,716,-556,2998,11313,45972,40359,43080,65535,0,17245,,
1712470710,15,719,-2856,-1638,10215,31230,28829,31580,61108,5284,12249,,
1712470712,50,698,-2849,-1470,6321,24674,24074,26487,51882,5732,10600,,
1712470714,19,707,-607,1,5657,18479,19107,22072,43649,6507,8003,,
1712470716,13,709,941,-964,9986,31371,28532,31691,61936,5274,11654,,
1712470718,13,706,-2135,-2756,10836,25195,23842,26860,52233,5675,9792,,
1712470720,13,722,-2329,-4002,8947,26338,24749,27291,52861,5468,10537,,
1712470722,10,697,-1806,-2962,6188,19960,19968,22425,44341,6058,8623,,
1712470724,11,675,-1618,-3141,3135,28809,26517,28938,56171,5234,11320,,
1712470726,20,691,-1152,-2632,4524,23606,22699,24940,49291,5603,9909,,
1712470728,20,661,-1317,-210,6081,20323,20712,22730,46159,5997,9456,,
1712470730,9,696,-4328,2929,8418,14518,16214,18570,37023,7043,7286,,
1712470732,42,697,-2328,-120,6918,14924,15804,17513,34592,6418,7281,,
1712470734,15,715,526,-2183,12487,47586,40071,43774,65535,0,15758,,
1712470736,10,720,-1676,508,9641,53154,44708,49071,65535,0,17393,,
1712470738,6,726,-190,699,9924,65535,54515,59894,65535,0,20931,,
1712470740,6,718,-688,867,5887,18556,18379,21374,40665,6303,7340,,
1712470742,7,729,-957,-182,7222,65535,64786,65535,65535,0,33013,,
1712470744,8,731,-1342,-1113,4716,65535,65535,65535,65535,0,34196,,
1712470746,7,711,1177,406,7347,65535,65535,65535,65535,0,34196,,
1712470748,5,710,113,2998,10421,63390,53325,59070,65535,0,20352,,
1712470750,6,718,1421,1795,12354,65535,65535,65535,65535,0,34196,,
1712470752,7,731,51,1721,11267,65535,65535,65535,65535,0,34196,,
1712470753,9,699,-2219,1858,9972,59808,51754,56905,65535,0,20620,,
1712470755,6,704,-1617,1676,10261,65535,65535,65535,65535,0,34196,,
1712470757,37,701,-1867,991,6851,65535,59450,62452,65535,0,26848,,
1712470759,8,708,-66,2886,5638,65535,65535,65535,65535,0,34196,,
1712470761,14,669,554,-258,7925,60867,51043,54818,65535,0,20681,,
1712470763,22,701,-1464,1048,9311,65535,59344,62840,65535,0,26396,,
1712470765,12,711,-1115,-166,8142,65535,57008,63381,65535,0,22313,,
1712470767,23,702,-1945,-770,8486,56931,45621,51260,65535,0,16005,,
1712470769,19,386,5292,-4502,4790,9131,9490,11414,22103,6885,3660,,
1712470771,9,589,2732,-4732,4673,51766,56268,54925,65535,0,31805,,
1712470773,37,434,4141,-5477,4664,6578,7774,9464,18739,7922,3207,,
1712470775,20,420,3836,-5507,4754,6740,7899,9568,18690,7906,3276,,
1712470777,0,98,-216,-6894,-1308,3176,2712,2833,4105,3695,1175,,
1712470779,3,305,-6027,2070,9278,6013,6964,8432,16104,7943,2868,,
1712470781,3,360,-1585,-157,6555,5607,6425,7698,14952,7676,2686,,
1712470783,2,323,-3167,1142,7546,5017,5499,6512,12275,7357,2284,,
1712470785,3,345,-3135,2856,6753,6208,7050,8308,15978,7544,3031,,
1712470787,3,256,-1287,390,6123,4637,5040,6085,11349,7470,1995,,
1712470789,4,430,358,628,6160,6447,7257,8675,16565,7598,3011,,
1712470791,6,457,751,-1181,12062,6721,7536,9016,17240,7561,3113,,
1712470793,4,341,-1755,2304,8986,6246,7471,9132,17730,8183,3080,,
1712470795,2,320,990,1542,5636,5105,6081,7458,14473,8169,2482,,
1712470797,2,143,110,1711,12689,3374,3729,4469,8142,7715,1519,,
1712470799,2,195,-2613,2821,5942,3586,3325,3710,5981,5574,1368,,
1712470801,3,457,-1089,1390,7592,7700,6841,7331,11277,4615,2932,,
1712470803,2,429,-518,-18,8407,7606,6730,7206,11083,4559,2878,,
1712470805,5,421,-548,513,8175,7464,6551,7003,10647,4430,2791,,
1712470807,3,442,-40,497,8365,7699,6875,7390,11517,4725,2942,,
1712470809,2,439,-261,830,8162,7702,6975,7514,11874,4919,3009,,
1712470811,20,736,1327,1082,12375,65535,65535,65535,65535,0,34196,,
1712470813,11,747,-405,343,9278,65535,65535,65535,65535,0,34196,,
1712470815,18,762,2676,1236,6354,65535,65535,65535,65535,0,34196,,
1712470817,21,749,-1,-303,13766,65535,65535,65535,65535,0,34196,,
1712470819,15,748,401,1256,7167,65535,65535,65535,65535,0,34196,,
1712470821,24,750,485,2013,9671,65535,65535,65535,65535,0,34196,,
1712470823,26,744,1678,877,6901,65535,65535,65535,65535,0,34196,,
1712470825,26,756,-1159,1526,9063,65535,65535,65535,65535,0,34196,,
1712470827,29,741,2479,-1267,9095,65535,65535,65535,65535,0,34196,,
1712470829,12,750,-506,-49,9313,65535,65535,65535,65535,0,34196,,
1712470831,14,759,1961,1164,6419,65535,65535,65535,65535,0,34196,,
1712470833,23,758,152,1175,7303,65535,65535,65535,65535,0,34196,,
1712470835,23,742,483,-459,5298,65535,65535,65535,65535,0,34196,,
1712470837,25,730,2792,-1782,11231,65535,65535,65535,65535,0,34196,,
1712470839,26,745,1190,1411,8897,65535,65535,65535,65535,0,34196,,
1712470841,11,688,3868,438,9186,65535,65535,65535,65535,0,34196,,
1712470843,8,670,-268,1902,6505,22774,22083,24614,47089,5806,9446,,
1712470845,14,709,940,-895,5968,23581,24589,27751,54769,6422,10843,,
1712470847,27,748,106,1495,9325,65535,65535,65535,65535,0,34196,,
1712470849,22,758,5503,2399,11759,65535,65535,65535,65535,0,34196,,
1712470851,24,761,-4,1695,4653,65535,65535,65535,65535,0,34196,,
1712470853,5,560,5122,1109,11246,15895,19211,23023,47079,7819,8310,,
1712470855,7,480,-492,3006,5277,9849,13292,16946,35407,8801,5379,,
1712470857,2,341,4852,3128,10566,7185,9425,12160,24709,8877,3643,,
1712470859,17,755,-320,1091,5293,65535,65535,65535,65535,0,34196,,
1712470861,18,555,3146,-675,8648,65535,65535,65535,65535,0,34196,,
1712470863,16,701,-1436,2448,7323,65535,65535,65535,65535,0,34196,,
1712470865,16,655,3804,2755,7783,65535,65535,65535,65535,0,34196,,
1712470866,15,765,294,1977,9475,65535,65535,65535,65535,0,34196,,
1712470868,4,756,485,667,5249,65535,65535,65535,65535,0,34196,,
1712470870,1,317,2150,544,9901,5250,6981,9270,18882,9087,2529,,
1712470872,0,354,405,1018,5127,5592,7283,9525,19131,8986,2708,,
1712470874,3,341,954,2961,10722,5307,6726,8666,17188,8803,2550,,
1712470876,1,186,-505,1785,4519,4113,5219,6845,13259,9122,1892,,
1712470878,1,119,1945,-743,11075,2717,3176,4077,7507,8687,1146,,
1712470880,1,114,480,1321,6634,2780,3276,4218,7965,8570,1180,,
1712470882,0,124,1666,4190,10699,2866,3388,4364,8180,8666,1222,,
1712470884,0,103,35,1553,4848,2400,2836,3722,6873,8909,972,,
1712470886,1,192,2739,1113,8917,3680,4700,6339,12353,9258,1584,,
1712470888,2,288,126,492,4205,4608,5791,7609,14870,8963,2075,,
1712470890,0,422,1396,4041,8788,6428,8248,10765,21416,8942,3052,,
1712470892,12,511,632,-641,3933,65535,65535,65535,65535,0,34196,,
1712470894,0,295,118,1538,8561,5739,6927,8910,17506,8462,2548,,
1712470896,1,196,897,532,5577,4827,5221,6467,12157,7560,1940,,
1712470898,3,188,1127,-103,9040,4589,4860,5964,11031,7385,1815,,
1712470900,3,271,-425,2398,7076,5606,6583,8358,16325,8201,2453,,
1712470902,1,285,4583,-3302,8355,5957,7259,9341,18531,8470,2686,,
1712470904,0,232,2358,1555,8692,4275,5250,6855,13262,8820,1881,,
1712470906,2,278,2668,660,5914,4877,5749,7342,14071,8407,2116,,
1712470908,1,280,4485,-902,10923,5644,7137,9279,18367,8847,2641,,
1712470910,0,196,2985,2605,6836,4290,4898,5988,11159,8035,1955,,
1712470912,3,219,2421,2402,9152,3951,4321,5155,9341,7605,1764,,
