timestamp,uv,accelX,accelY,accelZ,r,g,b,c,colorTemp,lux,target,code
1712473190,1,2657,2614,7522,6191,5533,5042,11242,3924,3032,,
1712473193,17,2620,2890,7189,6206,5546,5047,11287,3921,3044,,
1712473195,2,-1030,2901,7624,5429,4839,4554,9459,3987,2542,,
1712473197,3,-485,628,8201,4911,4385,4103,8632,3983,2323,,
1712473199,4,-597,-325,7975,4480,3962,3703,7762,3907,2088,,
1712473201,2,-1069,594,8145,4066,3564,3384,6905,3909,1828,,
1712473203,2,-1014,-455,5315,4033,3535,3336,6859,3880,1828,,
1712473205,2,-745,22,8452,4623,4026,3792,7798,3825,2078,,
1712473207,3,-609,162,8397,4721,4131,3879,8036,3849,2148,,
1712473209,1,-620,-193,8429,4762,4166,3915,8094,3849,2164,,
1712473211,1,-688,-190,8234,4700,4113,3863,7999,3850,2138,,
1712473213,2,-766,-183,8211,4693,4108,3858,7989,3851,2136,,
1712473215,2,-745,-134,8253,4705,4117,3867,8005,3849,2140,,
1712473217,2,-661,-11,8021,4699,4111,3860,7996,3847,2137,,
1712473219,2,-579,-211,8492,4651,4074,3822,7935,3854,2122,,
1712473221,1,-139,837,7994,4865,4291,4018,8388,3895,2252,,
1712473223,2,78,1105,8854,5047,4473,4165,8801,3911,2373,,
1712473225,3,608,83,8694,5025,4449,4136,8769,3900,2363,,
1712473227,5,1552,-854,8595,5017,4447,4143,8738,3911,2357,,
1712473229,4,450,-265,8465,5038,4448,4121,8809,3877,2368,,
1712473231,2,604,495,8273,5017,4434,4116,8758,3887,2357,,
1712473233,4,604,354,8219,5035,4452,4131,8799,3889,2368,,
1712473235,3,1278,698,8049,5032,4450,4132,8785,3891,2365,,
1712473237,1,640,169,8490,4988,4409,4093,8707,3887,2343,,
1712473239,6,806,231,8139,5044,4430,4076,8858,3834,2371,,
1712473241,15,384,186,8263,4873,4295,3988,8477,3870,2278,,
1712473243,4,316,305,8617,4848,4272,3974,8405,3871,2260,,
1712473245,4,214,2,8380,4743,4171,3876,8215,3856,2206,,
1712473247,4,168,-399,8149,4735,4165,3871,8204,3858,2203,,
1712473249,3,479,-122,8382,4847,4257,3957,8391,3851,2249,,
1712473251,0,-1758,-1805,7225,4471,3917,3632,7734,3827,2072,,
1712473253,3,-4210,-693,8513,8027,6839,6623,12759,3740,3340,,
1712473255,2,-2500,4155,6512,4739,4214,3977,8332,4011,2201,,
1712473257,1,414,4774,6939,5326,4794,4481,9452,4031,2557,,
1712473259,2,143,3405,7625,5492,4965,4655,9671,4050,2646,,
1712473261,1,-2446,5203,6940,5073,4547,4242,9066,4017,2425,,
1712473263,2,-1722,1839,7867,4602,4005,3842,7658,3888,2015,,
1712473265,2,-834,3005,7638,5289,4752,4454,9257,4009,2523,,
1712473267,3,-766,3837,7593,5416,4837,4554,9356,3980,2543,,
1712473269,1,353,3449,7578,5522,4960,4635,9674,3994,2643,,
1712473271,4,692,2953,7758,5714,5119,4769,10016,3968,2734,,
1712473274,1,575,3215,8083,5797,5184,4827,10134,3952,2767,,
1712473276,3,582,2621,7312,5814,5200,4841,10166,3952,2776,,
1712473278,3,686,2789,7357,5858,5235,4875,10231,3948,2792,,
1712473280,1,718,2733,7833,5916,5277,4917,10300,3936,2809,,
1712473282,4,660,3101,8034,5968,5322,4959,10383,3934,2832,,
1712473284,3,512,2947,7376,6180,5495,5131,10679,3918,2911,,
1712473286,3,522,3297,7830,6351,5625,5260,10902,3895,2966,,
1712473288,5,472,3434,7643,6320,5607,5241,10877,3906,2962,,
1712473290,3,657,2730,7351,6371,5641,5277,10934,3896,2972,,
1712473292,4,76,3078,7937,6548,5770,5411,11138,3869,3020,,
1712473294,3,836,2794,7882,6311,5566,5188,10840,3863,2939,,
1712473296,4,852,2482,7407,6584,5793,5408,11243,3848,3047,,
1712473298,0,829,2567,7865,6547,5749,5369,11150,3836,3018,,
1712473300,4,797,2953,7781,6559,5762,5382,11178,3840,3025,,
1712473302,2,652,3650,7603,6808,6047,5650,11696,3904,3198,,
1712473304,3,1472,2867,8292,6536,5739,5346,11189,3835,3023,,
1712473306,2,1263,2448,7446,6575,5754,5350,11350,3832,3031,,
1712473308,3,487,2151,7521,6735,5951,5564,11562,3885,3133,,
1712473310,1,1856,3348,7165,6752,5954,5536,11627,3856,3153,,
1712473312,3,1168,3571,7612,6785,5996,5591,11672,3876,3168,,
1712473314,4,1063,3838,7441,6998,6192,5791,12011,3891,3262,,
1712473316,6,1452,3245,7342,6813,6022,5610,11744,3877,3187,,
1712473318,1,1179,3064,7280,6829,6014,5625,11684,3866,3158,,
1712473320,7,1377,2468,8014,6686,5900,5497,11519,3870,3118,,
1712473322,39,876,3267,7923,6798,5969,5568,11636,3842,3138,,
1712473324,2,2243,2938,8439,6614,5834,5442,11395,3874,3077,,
1712473326,2,1165,3163,7588,6975,6134,5730,11922,3852,3223,,
1712473328,4,564,3236,7728,6762,5955,5557,11604,3861,3136,,
1712473330,7,288,3450,7354,7110,6262,5893,12031,3873,3262,,
1712473332,3,704,3207,7717,6821,6031,5642,11704,3889,3175,,
1712473334,3,830,3245,7642,7174,6303,5914,12184,3856,3290,,
1712473336,3,362,3433,7479,7006,6204,5823,11940,3898,3255,,
