timestamp,uv,light,accelX,accelY,accelZ,r,g,b,c,colorTemp,lux,target,code
1712470856,27,259,-181,3143,7716,52024,41303,41877,65535,0,17651,,
1712470858,21,285,311,2794,7643,54719,43199,43487,65535,0,18590,,
1712470860,12,230,723,3321,7417,16565,14453,15323,28785,4593,6219,,
1712470862,23,280,-4473,647,6222,58787,47134,47004,65535,0,20906,,
1712470864,22,258,-2061,1552,7412,39515,30920,31760,55975,3399,12728,,
1712470866,21,277,-520,3092,7715,32399,25679,26692,47362,3613,10476,,
1712470868,25,269,-764,2660,8174,51337,39814,41213,65535,0,16009,,
1712470870,24,287,-515,3362,7481,53663,41411,42248,65535,0,17017,,
1712470872,24,250,-941,2564,7905,50591,38538,39835,65535,0,15246,,
1712470874,24,278,-827,2536,7960,48132,37029,38023,65535,0,14989,,
1712470876,25,270,-1100,2433,7888,48554,37518,38465,65535,0,15300,,
1712470878,19,275,-1010,2450,7917,48021,37150,37933,65535,0,15282,,
1712470880,21,281,-920,2502,7930,48204,37288,38096,65535,0,15321,,
1712470882,22,257,-1039,2474,7915,48514,37577,38398,65535,0,15455,,
1712470884,23,254,-1013,2527,7888,48919,37910,38727,65535,0,15609,,
1712470886,25,272,-1090,2436,7799,47834,36872,37737,65535,0,15047,,
1712470888,20,278,-926,2586,7771,47762,36939,37713,65535,0,15194,,
1712470890,25,273,-869,2483,7899,48515,37471,38415,65535,0,15275,,
1712470892,25,254,-841,2393,7895,48690,37643,38510,65535,0,15421,,
1712470893,24,278,-839,2543,7818,48775,37746,38562,65535,0,15517,,
1712470895,24,256,-109,3004,7889,55695,42452,43420,65535,0,17143,,
1712470897,23,270,-147,3125,7763,55714,42898,43703,65535,0,17634,,
1712470899,26,268,-181,2961,7739,54532,42031,42796,65535,0,17313,,
1712470901,26,270,-114,2932,7786,54640,41977,42875,65535,0,17135,,
1712470903,25,281,12,3062,7740,54378,41852,42680,65535,0,17165,,
1712470905,20,255,-91,3027,7782,54350,41584,42569,65535,0,16832,,
1712470907,26,272,-108,3067,7698,55396,42534,43431,65535,0,17361,,
1712470909,29,250,-48,2810,7836,54523,41704,42671,65535,0,16891,,
1712470911,25,267,565,2838,8053,54583,41712,42671,65535,0,16884,,
1712470913,25,273,-277,3145,7696,53574,41016,41733,65535,0,16800,,
1712470915,24,251,-778,3444,7493,57379,44607,45286,65535,0,18632,,
1712470917,26,274,-1493,3062,7452,56209,43179,44031,65535,0,17676,,
1712470919,25,266,-135,3157,7630,55662,42803,43573,65535,0,17596,,
1712470921,23,269,-76,2849,8202,53320,40862,41622,65535,0,16720,,
1712470923,22,269,480,2388,7779,56202,43216,43895,65535,0,17837,,
1712470925,24,283,382,2705,8154,51804,39569,40431,65535,0,16043,,
1712470927,20,277,366,2478,7394,50835,38604,39692,65535,0,15376,,
1712470929,23,273,1079,2305,8660,48859,37503,38455,65535,0,15185,,
1712470931,23,266,414,2477,8112,47039,36110,36953,63936,3173,14676,,
1712470933,22,279,1669,3728,6773,45360,34807,35815,61932,3217,13998,,
1712470935,25,281,1161,2433,8166,46767,35995,36694,63829,3176,14773,,
1712470937,21,275,1182,2303,8249,47159,36291,37029,64214,3172,14868,,
1712470939,18,276,734,2470,7734,46191,34980,36244,61981,3149,13687,,
1712470941,19,276,796,2305,8093,47681,36383,37506,64388,3170,14494,,
1712470943,19,272,740,2535,7880,46635,35819,36606,63426,3170,14602,,
1712470945,24,284,391,2539,7471,46758,35426,36663,62854,3151,13900,,
1712470947,24,240,576,2454,7790,45387,34804,35740,61849,3197,14039,,
1712470949,22,250,1231,2575,7845,48236,36530,37597,63926,3069,14479,,
1712470951,21,273,1189,2363,8464,48702,36844,37999,64936,3098,14530,,
1712470953,19,252,-2974,2686,7303,36346,27977,29280,51042,3414,10927,,
1712470955,22,251,1160,2451,7895,46249,35551,36285,62957,3169,14540,,
1712470957,22,239,986,2485,7961,46587,35763,36482,63212,3150,14620,,
1712470959,22,284,999,2689,7902,46793,36070,36732,63851,3175,14855,,
1712470961,24,272,876,2536,7830,47908,36911,37600,65216,3166,15185,,
1712470963,23,268,864,2584,7847,46834,36037,36768,63641,3164,14763,,
1712470965,22,267,199,2510,7526,46148,35498,36157,62918,3166,14582,,
1712470967,16,251,895,2277,7927,43611,33531,34404,59564,3210,13584,,
1712470969,12,242,422,2375,7691,40608,31099,32076,55628,3234,12425,,
1712470971,17,263,901,1902,8141,38700,29891,30726,53387,3270,12126,,
1712470973,18,274,281,2678,7631,40897,31446,32254,56238,3231,12748,,
1712470975,22,277,657,1813,8206,35809,27869,28648,50041,3340,11394,,
1712470977,21,276,791,1944,8065,36795,28394,29320,50763,3292,11410,,
1712470979,20,265,628,1858,7977,35224,27170,28163,48806,3326,10835,,
1712470981,18,264,767,1966,8194,37332,28893,29713,51594,3286,11736,,
1712470983,15,278,572,1916,8205,37055,28777,29538,51469,3304,11771,,
1712470985,18,277,858,1883,8126,35852,27703,28587,49634,3304,11162,,
1712470987,21,255,862,1928,8083,35821,27725,28542,49654,3302,11240,,
1712470989,18,277,-596,3320,7708,54970,43624,43993,65535,0,18809,,
1712470991,20,275,-428,3350,7619,57397,44599,45156,65535,0,18709,,
1712470993,18,251,-339,3362,7565,56562,43492,44167,65535,0,17956,,
1712470995,21,276,-865,1330,8163,18396,14956,15877,29705,4089,6013,,
1712470997,21,272,-696,1546,8128,29284,23130,23972,42795,3580,9455,,
1712470999,21,274,-700,1541,8142,29054,22969,23800,42525,3587,9401,,
1712471001,16,250,-581,1618,8092,28489,22497,23349,41804,3598,9169,,
1712471003,19,267,-574,1590,8238,28389,22487,23289,41738,3605,9230,,
1712471005,22,274,-710,1727,8041,29112,22998,23832,42582,3582,9404,,
1712471007,18,271,-976,1325,8314,28940,22935,23704,42536,3594,9455,,
1712471009,15,266,-314,1424,8231,23618,18889,19640,35971,3761,7771,,
1712471011,17,267,1017,1273,8177,11717,9627,10657,21356,4569,3590,,
1712471013,17,261,-890,3346,8256,14531,12107,12566,23315,4064,5194,,
1712471015,19,277,-822,-2311,10103,20061,17178,18189,33739,4427,7287,,
1712471017,26,276,-3156,-1884,4561,38658,34779,34422,61759,4166,17149,,
