timestamp,uv,light,accelX,accelY,accelX,r,g,b,c,colorTemp,lux,,
1712471833,366,24,2324,-608,9025,939,1085,841,3001,4803,792,,
1712471835,323,32,873,-928,7010,1071,1222,953,3395,4781,883,,
1712471837,326,36,-702,-1189,8300,1297,1384,1100,3921,4622,958,,
1712471839,305,38,1101,-639,10234,1162,1293,1027,3631,4758,911,,
1712471841,358,49,853,-139,6701,1282,1387,1106,3920,4677,963,,
1712471843,355,56,-284,-868,10099,1153,1299,1050,3656,4860,907,,
1712471845,366,48,177,963,6734,1003,1187,952,3303,5007,851,,
1712471847,370,25,-286,-280,6821,1119,1264,1018,3555,4857,886,,
1712471849,375,24,-1265,-1066,6792,964,1135,915,3170,5007,808,,
1712471851,364,40,-609,-1466,7546,1302,1404,1138,3982,4721,960,,
1712471853,362,29,1660,-1154,8491,1259,1386,1117,3920,4771,961,,
1712471855,372,22,-59,-278,7066,921,1112,896,3089,5097,800,,
1712471857,368,22,-1884,423,8302,1033,1220,985,3397,5023,869,,
1712471859,370,58,2197,-273,8807,1009,1164,945,3268,4959,817,,
1712471861,320,61,626,-1431,8412,1153,1293,1050,3639,4860,897,,
1712471863,315,62,410,-1532,8140,1140,1284,1042,3612,4873,893,,
1712471865,338,62,-762,-1701,8587,1186,1319,1074,3717,4841,910,,
1712471867,324,33,67,-972,8153,1227,1342,1096,3796,4794,917,,
1712471869,305,26,959,-1431,8310,1134,1256,1024,3546,4831,864,,
1712471871,309,20,-199,-661,8151,1019,1187,967,3323,5006,834,,
1712471873,303,27,431,-1226,8492,1070,1245,1013,3478,4998,876,,
1712471875,360,26,395,-1302,8309,1097,1267,1031,3545,4971,889,,
1712471877,368,25,576,-904,8478,1003,1183,964,3302,5052,836,,
1712471879,375,29,-103,-991,8171,1071,1239,1008,3466,4976,870,,
1712471881,363,23,490,-589,8341,939,1120,910,3115,5083,796,,
1712471883,365,23,396,-1325,8144,1035,1213,988,3388,5027,855,,
1712471885,367,20,-990,-131,8015,875,1068,868,2961,5170,766,,
1712471887,355,21,1749,237,8174,816,970,785,2699,5056,691,,
1712471889,367,25,274,396,8509,841,957,777,2681,4911,668,,
1712471891,353,36,453,1040,8189,1159,1306,1061,3666,4878,908,,
1712471893,330,18,-2799,1117,8315,1117,1260,1024,3548,4883,876,,
1712471895,355,28,-644,2423,7869,810,967,782,2688,5069,690,,
1712471897,365,19,-1229,1718,8190,842,1003,812,2792,5065,715,,
1712471899,366,31,707,-4957,7971,1152,1278,1028,3599,4790,890,,
1712471901,359,57,1382,-845,8734,1197,1335,1087,3763,4850,922,,
1712471903,361,30,-1014,1580,8183,1010,1182,958,3309,5004,836,,
1712471905,356,40,2290,-1535,9936,1194,1336,1086,3766,4856,926,,
1712471907,348,34,-154,-847,8330,1194,1335,1084,3764,4849,926,,
1712471909,348,59,1113,-635,10201,1167,1340,1071,3741,4887,952,,
1712471911,383,36,-319,-721,7175,999,1190,951,3308,5017,857,,
1712471913,327,33,-116,-2291,9117,1148,1356,1086,3762,4995,972,,
1712471915,370,34,-549,-814,7743,1267,1395,1128,3926,4783,964,,
1712471917,348,53,-947,-864,9212,1148,1302,1055,3651,4892,910,,
1712471919,376,42,772,-1479,7771,1075,1273,1029,3542,5037,907,,
1712471921,383,29,-81,-2113,7337,1220,1368,1108,3848,4851,952,,
1712471923,377,30,956,-1072,8242,1333,1425,1154,4050,4689,971,,
1712471925,371,66,1767,-665,8529,1061,1220,971,3406,4877,870,,
1712471927,370,37,1628,42,7461,1156,1312,1056,3673,4871,922,,
1712471929,339,28,1718,-1667,10207,1100,1266,1024,3543,4937,891,,
1712471931,356,32,343,-1519,8594,1217,1347,1142,3834,4966,895,,
1712471933,384,23,-23,-1303,6847,696,875,674,2379,5080,661,,
1712471935,348,27,3106,1039,9984,1138,1364,1023,3702,4815,1034,,
1712471937,358,32,-488,-513,8457,1202,1348,1020,3719,4624,990,,
1712471939,367,24,-232,-355,7932,1303,1309,1001,3703,4317,910,,
1712471941,346,76,2201,-20,9521,1003,1038,781,2902,4357,741,,
1712471943,372,70,1410,-1195,6833,897,1046,788,2855,4738,783,,
1712471945,379,15,-1616,-1356,7308,807,972,735,2625,4861,734,,
1712471948,412,17,1499,216,10417,712,759,570,2097,4441,549,,
1712471950,337,193,2141,-2650,8154,4494,3722,2956,11086,3884,2252,,
1712471952,351,68,-284,-811,7066,809,907,680,2486,4593,671,,
1712471954,357,32,-277,-670,10345,1023,1101,834,3077,4497,795,,
1712471956,381,19,382,-1200,5979,893,961,728,2685,4497,694,,
1712471958,375,14,-554,-169,9595,762,899,676,2454,4771,676,,
1712471960,347,12,-1654,-1774,5879,730,874,660,2380,4835,659,,
1712471962,358,10,-1526,-1459,8406,644,780,594,2128,4905,587,,
1712471964,355,9,413,-1202,8458,837,917,689,2538,4527,671,,
1712471966,319,23,475,722,7236,955,967,738,2742,4335,676,,
1712471968,293,29,115,644,7142,1215,1138,874,3282,4131,762,,
1712471970,304,26,929,1066,8218,1006,1025,772,2884,4314,726,,
1712471972,321,59,727,-452,8251,988,954,722,2718,4175,656,,
1712471974,299,23,1382,-164,8695,1069,1130,853,3150,4431,812,,
1712471976,306,53,-127,-1546,8215,972,1070,808,2955,4558,781,,
1712471978,368,12,-565,2412,7893,679,871,669,2302,5144,664,,
1712471980,293,49,-1936,-1433,9877,961,952,719,2697,4241,664,,
1712471982,315,16,-1470,-2632,9308,359,421,313,1147,4712,318,,
1712471984,281,28,-109,2348,8943,3287,2830,2192,8335,3931,1795,,
1712471986,314,64,-1011,3411,7429,1630,1393,1079,4113,3913,879,,
1712471988,318,102,376,4421,6272,1637,1412,1096,4157,3941,895,,
1712471990,268,86,1617,-3658,9016,4202,3492,2715,10392,3850,2160,,
1712471992,320,27,-1644,-1470,9997,466,542,402,1474,4677,409,,
1712471994,305,7,-1773,-1873,8853,841,796,592,2250,4072,550,,
1712471996,323,86,-1334,-936,6313,2035,1860,1395,5329,4002,1254,,
1712471998,319,123,787,52,7747,2434,2183,1657,6282,3984,1442,,
1712472000,312,204,-315,1512,10784,1691,1809,1334,4933,4396,1329,,
1712472002,331,51,283,776,6605,629,640,505,1683,4392,436,,
1712472004,323,27,-789,735,9824,1142,1243,999,3242,4692,859,,
