Connected to CDC device
1715925947,3,663,-258,-7958,53,64,47,168,4769,49,,
1715925949,2,426,-672,-8013,11,11,8,29,4161,7,,
1715925951,2,287,-615,-7951,6,6,5,16,4566,3,,
1715925953,1,305,-645,-8006,7,8,6,19,4566,5,,
1715925955,9,231,-701,-7998,9,12,9,29,5201,9,,
1715925957,7,421,-688,-8004,9,10,7,26,4354,7,,
1715925959,3,316,-692,-8031,9,10,7,26,4354,7,,
1715925961,0,313,-672,-8018,7,7,5,19,4112,5,,
1715925963,9,330,-691,-7971,8,8,6,21,4248,5,,
1715925965,4,308,-653,-7995,7,8,6,20,4656,5,,
1715925967,3,333,-677,-8015,9,9,7,23,4248,6,,
1317 n
1715925969,5,212,-592,-8002,7,7,5,19,4112,5,,
1715925971,3,397,-682,-7969,
Disconnected
Connected to CDC device
1317 white lighting large windows but cloudy outside
1715925989,19,308,-697,-8002,7,7,5,18,4112,5,,
1715925991,2,329,-696,-8004,7,8,6,20,4656,5,,
1715925993,2,1340,-4910,8950,680,707,483,1857,4087,541,,
1715925995,5,-1186,-581,8282,700,719,492,1901,4060,547,,
1715925997,0,219,-1333,8522,722,757,517,1989,4114,582,,
1715925999,5,-1094,-1209,8157,728,774,529,2032,4159,598,,
1715926001,7,-1036,-215,8326,727,764,522,2006,4122,587,,
1715926003,3,-1005,-222,8330,730,770,526,2020,4131,593,,
1715926005,3,-993,-231,8343,730,771,526,2020,4131,594,,
1715926007,0,-963,-232,8343,730,771,526,2021,4131,594,,
1715926009,3,-972,-238,8340,730,770,526,2020,4131,593,,
1715926011,5,-981,-238,8329,730,771,526,2021,4131,594,,
1715926013,4,-984,-243,8331,728,766,523,2011,4123,589,,
1715926015,0,-958,-238,8340,729,769,525,2016,4130,592,,
1715926017,4,-957,-247,8341,729,769,525,2018,4131,592,,
1715926019,6,-946,-248,8338,730,770,525,2019,4126,594,,
1715926021,3,-963,-250,8318,730,770,525,2019,4126,594,,
1715926023,5,-963,-233,8327,729,769,525,2018,4131,592,,
1715926025,25,-954,-249,8346,729,769,525,2018,4131,592,,
1715926027,0,-938,-237,8346,730,770,525,2019,4126,594,,
1715926029,0,-931,-232,8361,730,770,525,2019,4126,594,,
1715926031,1,-915,-247,8343,729,770,525,2019,4131,594,,
1715926033,5,-950,-238,8336,729,770,525,2019,4131,594,,
1715926035,3,-921,-240,8341,729,769,524,2016,4125,593,,
1715926037,0,-922,-240,8354,729,769,524,2016,4125,593,,
