timestamp,uv,light,accelX,accelY,accelZ,r,g,b,c,colorTemp,lux,class,code
1712471098,4,735,822,1831,8233,15681,15807,18200,34568,6382,6537,,
1712471100,8,717,485,1327,9148,15466,15599,17977,34152,6393,6442,,
1712471102,2,688,-3660,-1018,14290,65535,65535,65535,65535,0,34196,,
1712471104,5,670,-1394,-2507,7790,65535,65535,65535,65535,0,34196,,
1712471106,5,733,-1220,-2230,7991,65535,65535,65535,65535,0,34196,,
1712471108,5,734,-978,-2477,8168,65535,65535,65535,65535,0,34196,,
1712471110,1,727,-1737,-354,8298,65535,65535,65535,65535,0,34196,,
1712471112,7,719,-630,-164,8368,54324,58369,61603,65535,0,29403,,
1712471114,7,714,-612,-152,8383,50438,54613,57781,65535,0,27533,,
1712471116,9,721,-1001,-1245,8130,60185,65535,65535,65535,0,35933,,
1712471118,9,707,77,-1274,8302,37030,41613,43608,65535,0,21741,,
1712471120,8,720,145,-1322,8338,60037,65535,65535,65535,0,35981,,
1712471122,0,723,167,-1280,8203,65535,65535,65535,65535,0,34196,,
1712471124,7,723,154,-1250,8347,65535,65535,65535,65535,0,34196,,
1712471126,5,720,173,-1125,8305,65535,65535,65535,65535,0,34196,,
1712471128,6,723,192,-980,8396,65535,65535,65535,65535,0,34196,,
1712471130,5,728,285,-819,8493,65535,65535,65535,65535,0,34196,,
1712471132,3,727,268,-829,8394,65535,65535,65535,65535,0,34196,,
1712471134,3,717,236,-825,8416,65535,65535,65535,65535,0,34196,,
1712471136,4,736,1317,-371,7967,65535,65535,65535,65535,0,34196,,
1712471138,5,723,2134,1371,8044,65535,65535,65535,65535,0,34196,,
1712471140,2,727,1273,909,8401,65535,65535,65535,65535,0,34196,,
1712471143,7,731,1474,822,8388,65535,65535,65535,65535,0,34196,,
1712471145,8,728,1115,252,8296,65535,65535,65535,65535,0,34196,,
1712471147,5,730,1251,443,8278,65535,65535,65535,65535,0,34196,,
1712471149,6,738,984,412,8497,65535,65535,65535,65535,0,34196,,
1712471151,9,740,1250,248,8500,65535,65535,65535,65535,0,34196,,
1712471153,11,737,1148,311,8447,65535,65535,65535,65535,0,34196,,
1712471155,6,735,1096,430,8333,65535,65535,65535,65535,0,34196,,
1712471157,6,740,2819,1108,8627,65535,65535,65535,65535,0,34196,,
1712471159,5,659,-3741,-534,8159,26575,26148,28242,53801,5689,11972,,
1712471161,2,554,518,1431,7938,47609,49856,52667,65535,0,24686,,
1712471163,8,634,-1612,-2619,7123,35533,38744,40508,65535,0,19968,,
1712471165,1,623,-2385,-3405,6910,52860,54467,56100,65535,0,27747,,
1712471167,1,692,-2799,-3418,7625,53617,55085,56697,65535,0,28040,,
1712471169,1,739,-2084,-4399,6577,65535,65535,65535,65535,0,34196,,
1712471171,0,723,-2144,-4642,6754,65535,65535,65535,65535,0,34196,,
1712471173,3,682,-2887,-4118,6538,21976,22905,24457,55439,5830,11117,,
1712471175,1,685,-3107,-4096,6505,38199,39273,40853,65535,0,19684,,
1712471177,0,673,-3023,-4141,6479,48656,49493,50928,65535,0,25046,,
1712471179,1,686,-3077,-4200,6426,42990,43587,45049,65535,0,21867,,
1712471181,2,671,-3018,-4132,6544,47037,47686,48953,65535,0,24165,,
