timestamp,uv,light,accelX,accelY,accelZ,r,g,b,c,colorTemp,lux,class,code
1712470663,2,720,-406,4249,7140,14178,14225,16283,30788,6310,5931,,
1712470665,7,815,1839,-4544,8273,24347,28641,29617,43099,9571,15624,,
1712470667,3,718,-2275,-3851,6010,43155,53020,54907,65535,0,29487,,
1712470669,8,659,1936,-2633,8038,65535,65535,65535,65535,0,34196,,
1712470671,3,662,93,-2182,7524,65535,65535,65535,65535,0,34196,,
1712470673,3,770,-1817,-3681,9131,65535,65535,65535,65535,0,34196,,
1712470675,36,705,1617,-6203,5049,65535,65535,65535,65535,0,34196,,
1712470677,6,756,1115,-4159,7386,65535,65535,65535,65535,0,34196,,
1712470679,12,712,1372,-3443,7770,65535,65535,65535,65535,0,34196,,
1712470681,13,724,1339,-3635,8376,20819,22801,24815,50994,6459,11066,,
1712470683,3,654,954,-466,7946,29136,33032,35164,65535,0,16940,,
1712470685,13,792,2772,-3751,6963,64459,65535,65535,65535,0,34545,,
1712470687,15,828,2782,-3457,7122,65535,65535,65535,65535,0,34196,,
1712470689,13,740,2792,-3790,7006,25670,28905,30948,65535,0,14637,,
1712470691,11,761,3155,-3676,6875,44485,50559,51708,65535,0,27512,,
1712470693,15,819,3454,-3421,6974,65535,65535,65535,65535,0,34196,,
1712470695,12,819,3609,-2924,7204,65535,65535,65535,65535,0,34196,,
1712470697,18,791,3378,-3204,7066,65535,65535,65535,65535,0,34196,,
1712470699,18,821,2807,-2717,7323,65535,65535,65535,65535,0,34196,,
1712470701,14,763,3599,-2841,7365,65535,65535,65535,65535,0,34196,,
1712470703,18,785,3709,-2644,7322,65535,65535,65535,65535,0,34196,,
1712470706,14,643,3472,-3539,7021,63453,65535,65535,65535,0,34872,,
1712470708,13,706,3041,-2804,7390,43890,49618,51210,65535,0,26585,,
1712470710,12,710,3263,-2763,7265,55063,62078,63407,65535,0,33697,,
1712470712,12,709,3494,-2107,7428,40327,45097,46865,65535,0,23786,,
1712470714,13,722,3414,-2014,7387,65535,65535,65535,65535,0,34196,,
1712470716,14,820,2869,-1135,7419,65535,65535,65535,65535,0,34196,,
1712470718,6,810,2736,-1131,7949,65535,65535,65535,65535,0,34196,,
1712470720,13,717,2828,-1027,7735,43044,48349,50084,65535,0,25680,,
1712470722,14,758,2468,-1202,8200,65535,65535,65535,65535,0,34196,,
1712470724,6,705,2248,407,7817,65535,65535,65535,65535,0,34196,,
1712470726,2,696,1078,-1230,8469,14445,14181,16492,33516,6103,5622,,
1712470728,1,686,-544,-2574,8724,17612,15134,17414,35485,5127,5423,,
1712470730,4,678,337,-1191,8831,65535,65535,65535,65535,0,34196,,
1712470732,5,759,1508,-2556,8290,65535,65535,65535,65535,0,34196,,
1712470734,6,744,1540,-1299,8238,65535,65535,65535,65535,0,34196,,
1712470736,2,749,1655,-1179,8358,65535,65535,65535,65535,0,34196,,
1712470738,1,752,1664,-946,8268,65535,65535,65535,65535,0,34196,,
1712470740,4,751,1734,-1003,8299,65535,65535,65535,65535,0,34196,,
1712470742,1,705,455,385,8190,26904,28062,30620,61063,6167,13146,,
1712470744,6,852,4509,-1718,6470,65535,65535,65535,65535,0,34196,,
1712470746,4,740,1620,-2682,7702,60751,65535,65535,65535,0,35749,,
1712470748,1,765,715,-2299,8142,65535,65535,65535,65535,0,34196,,
1712470750,4,775,1407,-2156,8107,65535,65535,65535,65535,0,34196,,
1712470752,1,773,1324,-2118,8221,65535,65535,65535,65535,0,34196,,
1712470754,4,786,1788,-2264,7991,65535,65535,65535,65535,0,34196,,
1712470756,2,790,1925,-2288,7997,65535,65535,65535,65535,0,34196,,
1712470758,6,789,1820,-2110,8099,65535,65535,65535,65535,0,34196,,
